target,call_id,call_kind,matrix_size,process,op_type,op_index,attribution_source,attribution_type_id,template_source_workload,template_samples,est_host_ns,est_gpu_ns
react_moa_mcts,react-plan,llm,768,inter_operator_dispatch,,,template_scaled,llm|768|inter_operator_dispatch|,react_tool,280,7819.0,0.0
react_moa_mcts,react-plan,llm,768,mir_operator:LinearOp,LinearOp,12,template_scaled,llm|768|mir_operator:LinearOp|LinearOp,react_tool,120,119817.0,12765.0
react_moa_mcts,react-plan,llm,768,inter_operator_dispatch,,,template_scaled,llm|768|inter_operator_dispatch|,react_tool,280,7819.0,0.0
react_moa_mcts,react-plan,llm,768,mir_operator:ViewOp,ViewOp,13,template_scaled,llm|768|mir_operator:ViewOp|ViewOp,react_tool,40,72548.5,0.0
react_moa_mcts,react-plan,llm,768,inter_operator_dispatch,,,template_scaled,llm|768|inter_operator_dispatch|,react_tool,280,7819.0,0.0
react_moa_mcts,react-plan,llm,768,mir_operator:TransposeOp,TransposeOp,14,template_scaled,llm|768|mir_operator:TransposeOp|TransposeOp,react_tool,40,127297.0,9406.0
react_moa_mcts,react-plan,llm,768,pre_d2h_alloc,,,template_scaled,llm|768|pre_d2h_alloc|,react_tool,40,13856.0,0.0
react_moa_mcts,react-plan,llm,768,d2h_stage,,,template_scaled,llm|768|d2h_stage|,react_tool,40,144755.5,90206.5
react_moa_mcts,react-plan,llm,768,checksum_complete,,,template_scaled,llm|768|checksum_complete|,react_tool,40,70027.5,0.0
react_moa_mcts,<dag>,dag,,dag_schedule_gap,,,template_scaled,dag||dag_schedule_gap|,planner_debate+react_tool,180,43206.5,0.0
react_moa_mcts,moa-map0,llm,1024,adapter_dispatch,,,template_scaled,llm|1024|adapter_dispatch|,planner_debate,60,1186366.5,0.0
react_moa_mcts,moa-map0,llm,1024,token_preprocess_cpu,,,template_scaled,llm|1024|token_preprocess_cpu|,planner_debate,60,313924.5,0.0
react_moa_mcts,moa-map0,llm,1024,host_input_generate,,,template_scaled,llm|1024|host_input_generate|,planner_debate,60,9148350.0,0.0
react_moa_mcts,moa-map0,llm,1024,h2d_stage,,,template_scaled,llm|1024|h2d_stage|,planner_debate,60,262858.5,151029.5
react_moa_mcts,moa-map0,llm,1024,weight_init,,,template_scaled,llm|1024|weight_init|,planner_debate,60,166527.5,7071.0
react_moa_mcts,moa-map0,llm,1024,mir_operator:RMSNormOp,RMSNormOp,6,template_scaled,llm|1024|mir_operator:RMSNormOp|RMSNormOp,planner_debate,120,270176.5,19229.5
react_moa_mcts,moa-map0,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,moa-map0,llm,1024,mir_operator:AddOp,AddOp,7,template_scaled,llm|1024|mir_operator:AddOp|AddOp,planner_debate,60,104327.0,2048.0
react_moa_mcts,moa-map0,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,moa-map0,llm,1024,mir_operator:RMSNormOp,RMSNormOp,8,template_scaled,llm|1024|mir_operator:RMSNormOp|RMSNormOp,planner_debate,120,270176.5,19229.5
react_moa_mcts,moa-map0,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,moa-map0,llm,1024,mir_operator:LinearOp,LinearOp,10,template_scaled,llm|1024|mir_operator:LinearOp|LinearOp,planner_debate,180,109502.0,19677.0
react_moa_mcts,moa-map0,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,moa-map0,llm,1024,mir_operator:LinearOp,LinearOp,11,template_scaled,llm|1024|mir_operator:LinearOp|LinearOp,planner_debate,180,109502.0,19677.0
react_moa_mcts,moa-map0,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,moa-map0,llm,1024,mir_operator:LinearOp,LinearOp,12,template_scaled,llm|1024|mir_operator:LinearOp|LinearOp,planner_debate,180,109502.0,19677.0
react_moa_mcts,moa-map0,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,moa-map0,llm,1024,mir_operator:ViewOp,ViewOp,13,template_scaled,llm|1024|mir_operator:ViewOp|ViewOp,planner_debate,60,75864.5,0.0
react_moa_mcts,moa-map0,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,moa-map0,llm,1024,mir_operator:TransposeOp,TransposeOp,14,template_scaled,llm|1024|mir_operator:TransposeOp|TransposeOp,planner_debate,60,129329.0,12381.5
react_moa_mcts,moa-map0,llm,1024,pre_d2h_alloc,,,template_scaled,llm|1024|pre_d2h_alloc|,planner_debate,60,13916.0,0.0
react_moa_mcts,moa-map0,llm,1024,d2h_stage,,,template_scaled,llm|1024|d2h_stage|,planner_debate,60,219117.5,162019.0
react_moa_mcts,moa-map0,llm,1024,checksum_complete,,,template_scaled,llm|1024|checksum_complete|,planner_debate,60,78232.5,0.0
react_moa_mcts,<dag>,dag,,dag_schedule_gap,,,template_scaled,dag||dag_schedule_gap|,planner_debate+react_tool,180,43206.5,0.0
react_moa_mcts,moa-map1,llm,1024,adapter_dispatch,,,template_scaled,llm|1024|adapter_dispatch|,planner_debate,60,1186366.5,0.0
react_moa_mcts,moa-map1,llm,1024,token_preprocess_cpu,,,template_scaled,llm|1024|token_preprocess_cpu|,planner_debate,60,313924.5,0.0
react_moa_mcts,moa-map1,llm,1024,host_input_generate,,,template_scaled,llm|1024|host_input_generate|,planner_debate,60,9148350.0,0.0
react_moa_mcts,moa-map1,llm,1024,h2d_stage,,,template_scaled,llm|1024|h2d_stage|,planner_debate,60,262858.5,151029.5
react_moa_mcts,moa-map1,llm,1024,weight_init,,,template_scaled,llm|1024|weight_init|,planner_debate,60,166527.5,7071.0
react_moa_mcts,moa-map1,llm,1024,mir_operator:RMSNormOp,RMSNormOp,6,template_scaled,llm|1024|mir_operator:RMSNormOp|RMSNormOp,planner_debate,120,270176.5,19229.5
react_moa_mcts,moa-map1,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,moa-map1,llm,1024,mir_operator:AddOp,AddOp,7,template_scaled,llm|1024|mir_operator:AddOp|AddOp,planner_debate,60,104327.0,2048.0
react_moa_mcts,moa-map1,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,moa-map1,llm,1024,mir_operator:RMSNormOp,RMSNormOp,8,template_scaled,llm|1024|mir_operator:RMSNormOp|RMSNormOp,planner_debate,120,270176.5,19229.5
react_moa_mcts,moa-map1,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,moa-map1,llm,1024,mir_operator:LinearOp,LinearOp,10,template_scaled,llm|1024|mir_operator:LinearOp|LinearOp,planner_debate,180,109502.0,19677.0
react_moa_mcts,moa-map1,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,moa-map1,llm,1024,mir_operator:LinearOp,LinearOp,11,template_scaled,llm|1024|mir_operator:LinearOp|LinearOp,planner_debate,180,109502.0,19677.0
react_moa_mcts,moa-map1,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,moa-map1,llm,1024,mir_operator:LinearOp,LinearOp,12,template_scaled,llm|1024|mir_operator:LinearOp|LinearOp,planner_debate,180,109502.0,19677.0
react_moa_mcts,moa-map1,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,moa-map1,llm,1024,mir_operator:ViewOp,ViewOp,13,template_scaled,llm|1024|mir_operator:ViewOp|ViewOp,planner_debate,60,75864.5,0.0
react_moa_mcts,moa-map1,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,moa-map1,llm,1024,mir_operator:TransposeOp,TransposeOp,14,template_scaled,llm|1024|mir_operator:TransposeOp|TransposeOp,planner_debate,60,129329.0,12381.5
react_moa_mcts,moa-map1,llm,1024,pre_d2h_alloc,,,template_scaled,llm|1024|pre_d2h_alloc|,planner_debate,60,13916.0,0.0
react_moa_mcts,moa-map1,llm,1024,d2h_stage,,,template_scaled,llm|1024|d2h_stage|,planner_debate,60,219117.5,162019.0
react_moa_mcts,moa-map1,llm,1024,checksum_complete,,,template_scaled,llm|1024|checksum_complete|,planner_debate,60,78232.5,0.0
react_moa_mcts,<dag>,dag,,dag_schedule_gap,,,template_scaled,dag||dag_schedule_gap|,planner_debate+react_tool,180,43206.5,0.0
react_moa_mcts,moa-map2,llm,1024,adapter_dispatch,,,template_scaled,llm|1024|adapter_dispatch|,planner_debate,60,1186366.5,0.0
react_moa_mcts,moa-map2,llm,1024,token_preprocess_cpu,,,template_scaled,llm|1024|token_preprocess_cpu|,planner_debate,60,313924.5,0.0
react_moa_mcts,moa-map2,llm,1024,host_input_generate,,,template_scaled,llm|1024|host_input_generate|,planner_debate,60,9148350.0,0.0
react_moa_mcts,moa-map2,llm,1024,h2d_stage,,,template_scaled,llm|1024|h2d_stage|,planner_debate,60,262858.5,151029.5
react_moa_mcts,moa-map2,llm,1024,weight_init,,,template_scaled,llm|1024|weight_init|,planner_debate,60,166527.5,7071.0
react_moa_mcts,moa-map2,llm,1024,mir_operator:RMSNormOp,RMSNormOp,6,template_scaled,llm|1024|mir_operator:RMSNormOp|RMSNormOp,planner_debate,120,270176.5,19229.5
react_moa_mcts,moa-map2,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,moa-map2,llm,1024,mir_operator:AddOp,AddOp,7,template_scaled,llm|1024|mir_operator:AddOp|AddOp,planner_debate,60,104327.0,2048.0
react_moa_mcts,moa-map2,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,moa-map2,llm,1024,mir_operator:RMSNormOp,RMSNormOp,8,template_scaled,llm|1024|mir_operator:RMSNormOp|RMSNormOp,planner_debate,120,270176.5,19229.5
react_moa_mcts,moa-map2,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,moa-map2,llm,1024,mir_operator:LinearOp,LinearOp,10,template_scaled,llm|1024|mir_operator:LinearOp|LinearOp,planner_debate,180,109502.0,19677.0
react_moa_mcts,moa-map2,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,moa-map2,llm,1024,mir_operator:LinearOp,LinearOp,11,template_scaled,llm|1024|mir_operator:LinearOp|LinearOp,planner_debate,180,109502.0,19677.0
react_moa_mcts,moa-map2,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,moa-map2,llm,1024,mir_operator:LinearOp,LinearOp,12,template_scaled,llm|1024|mir_operator:LinearOp|LinearOp,planner_debate,180,109502.0,19677.0
react_moa_mcts,moa-map2,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,moa-map2,llm,1024,mir_operator:ViewOp,ViewOp,13,template_scaled,llm|1024|mir_operator:ViewOp|ViewOp,planner_debate,60,75864.5,0.0
react_moa_mcts,moa-map2,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,moa-map2,llm,1024,mir_operator:TransposeOp,TransposeOp,14,template_scaled,llm|1024|mir_operator:TransposeOp|TransposeOp,planner_debate,60,129329.0,12381.5
react_moa_mcts,moa-map2,llm,1024,pre_d2h_alloc,,,template_scaled,llm|1024|pre_d2h_alloc|,planner_debate,60,13916.0,0.0
react_moa_mcts,moa-map2,llm,1024,d2h_stage,,,template_scaled,llm|1024|d2h_stage|,planner_debate,60,219117.5,162019.0
react_moa_mcts,moa-map2,llm,1024,checksum_complete,,,template_scaled,llm|1024|checksum_complete|,planner_debate,60,78232.5,0.0
react_moa_mcts,<dag>,dag,,dag_schedule_gap,,,template_scaled,dag||dag_schedule_gap|,planner_debate+react_tool,180,43206.5,0.0
react_moa_mcts,mcts-root,llm,1024,adapter_dispatch,,,template_scaled,llm|1024|adapter_dispatch|,planner_debate,60,1186366.5,0.0
react_moa_mcts,mcts-root,llm,1024,token_preprocess_cpu,,,template_scaled,llm|1024|token_preprocess_cpu|,planner_debate,60,313924.5,0.0
react_moa_mcts,mcts-root,llm,1024,host_input_generate,,,template_scaled,llm|1024|host_input_generate|,planner_debate,60,9148350.0,0.0
react_moa_mcts,mcts-root,llm,1024,h2d_stage,,,template_scaled,llm|1024|h2d_stage|,planner_debate,60,262858.5,151029.5
react_moa_mcts,mcts-root,llm,1024,weight_init,,,template_scaled,llm|1024|weight_init|,planner_debate,60,166527.5,7071.0
react_moa_mcts,mcts-root,llm,1024,mir_operator:RMSNormOp,RMSNormOp,6,template_scaled,llm|1024|mir_operator:RMSNormOp|RMSNormOp,planner_debate,120,270176.5,19229.5
react_moa_mcts,mcts-root,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,mcts-root,llm,1024,mir_operator:AddOp,AddOp,7,template_scaled,llm|1024|mir_operator:AddOp|AddOp,planner_debate,60,104327.0,2048.0
react_moa_mcts,mcts-root,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,mcts-root,llm,1024,mir_operator:RMSNormOp,RMSNormOp,8,template_scaled,llm|1024|mir_operator:RMSNormOp|RMSNormOp,planner_debate,120,270176.5,19229.5
react_moa_mcts,mcts-root,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,mcts-root,llm,1024,mir_operator:LinearOp,LinearOp,10,template_scaled,llm|1024|mir_operator:LinearOp|LinearOp,planner_debate,180,109502.0,19677.0
react_moa_mcts,mcts-root,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,mcts-root,llm,1024,mir_operator:LinearOp,LinearOp,11,template_scaled,llm|1024|mir_operator:LinearOp|LinearOp,planner_debate,180,109502.0,19677.0
react_moa_mcts,mcts-root,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,mcts-root,llm,1024,mir_operator:LinearOp,LinearOp,12,template_scaled,llm|1024|mir_operator:LinearOp|LinearOp,planner_debate,180,109502.0,19677.0
react_moa_mcts,mcts-root,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,mcts-root,llm,1024,mir_operator:ViewOp,ViewOp,13,template_scaled,llm|1024|mir_operator:ViewOp|ViewOp,planner_debate,60,75864.5,0.0
react_moa_mcts,mcts-root,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,mcts-root,llm,1024,mir_operator:TransposeOp,TransposeOp,14,template_scaled,llm|1024|mir_operator:TransposeOp|TransposeOp,planner_debate,60,129329.0,12381.5
react_moa_mcts,mcts-root,llm,1024,pre_d2h_alloc,,,template_scaled,llm|1024|pre_d2h_alloc|,planner_debate,60,13916.0,0.0
react_moa_mcts,mcts-root,llm,1024,d2h_stage,,,template_scaled,llm|1024|d2h_stage|,planner_debate,60,219117.5,162019.0
react_moa_mcts,mcts-root,llm,1024,checksum_complete,,,template_scaled,llm|1024|checksum_complete|,planner_debate,60,78232.5,0.0
react_moa_mcts,<dag>,dag,,dag_schedule_gap,,,template_scaled,dag||dag_schedule_gap|,planner_debate+react_tool,180,43206.5,0.0
react_moa_mcts,react-tool,tool,256,agent_tool_execute_cpu,,,template_scaled,tool|256|agent_tool_execute_cpu|,planner_debate+react_tool,40,338470.0,0.0
react_moa_mcts,<dag>,dag,,dag_schedule_gap,,,template_scaled,dag||dag_schedule_gap|,planner_debate+react_tool,180,43206.5,0.0
react_moa_mcts,mcts-actor0,llm,1024,adapter_dispatch,,,template_scaled,llm|1024|adapter_dispatch|,planner_debate,60,1186366.5,0.0
react_moa_mcts,mcts-actor0,llm,1024,token_preprocess_cpu,,,template_scaled,llm|1024|token_preprocess_cpu|,planner_debate,60,313924.5,0.0
react_moa_mcts,mcts-actor0,llm,1024,host_input_generate,,,template_scaled,llm|1024|host_input_generate|,planner_debate,60,9148350.0,0.0
react_moa_mcts,mcts-actor0,llm,1024,h2d_stage,,,template_scaled,llm|1024|h2d_stage|,planner_debate,60,262858.5,151029.5
react_moa_mcts,mcts-actor0,llm,1024,weight_init,,,template_scaled,llm|1024|weight_init|,planner_debate,60,166527.5,7071.0
react_moa_mcts,mcts-actor0,llm,1024,mir_operator:RMSNormOp,RMSNormOp,6,template_scaled,llm|1024|mir_operator:RMSNormOp|RMSNormOp,planner_debate,120,270176.5,19229.5
react_moa_mcts,mcts-actor0,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,mcts-actor0,llm,1024,mir_operator:AddOp,AddOp,7,template_scaled,llm|1024|mir_operator:AddOp|AddOp,planner_debate,60,104327.0,2048.0
react_moa_mcts,mcts-actor0,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,mcts-actor0,llm,1024,mir_operator:RMSNormOp,RMSNormOp,8,template_scaled,llm|1024|mir_operator:RMSNormOp|RMSNormOp,planner_debate,120,270176.5,19229.5
react_moa_mcts,mcts-actor0,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,mcts-actor0,llm,1024,mir_operator:LinearOp,LinearOp,10,template_scaled,llm|1024|mir_operator:LinearOp|LinearOp,planner_debate,180,109502.0,19677.0
react_moa_mcts,mcts-actor0,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,mcts-actor0,llm,1024,mir_operator:LinearOp,LinearOp,11,template_scaled,llm|1024|mir_operator:LinearOp|LinearOp,planner_debate,180,109502.0,19677.0
react_moa_mcts,mcts-actor0,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,mcts-actor0,llm,1024,mir_operator:LinearOp,LinearOp,12,template_scaled,llm|1024|mir_operator:LinearOp|LinearOp,planner_debate,180,109502.0,19677.0
react_moa_mcts,mcts-actor0,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,mcts-actor0,llm,1024,mir_operator:ViewOp,ViewOp,13,template_scaled,llm|1024|mir_operator:ViewOp|ViewOp,planner_debate,60,75864.5,0.0
react_moa_mcts,mcts-actor0,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,mcts-actor0,llm,1024,mir_operator:TransposeOp,TransposeOp,14,template_scaled,llm|1024|mir_operator:TransposeOp|TransposeOp,planner_debate,60,129329.0,12381.5
react_moa_mcts,mcts-actor0,llm,1024,pre_d2h_alloc,,,template_scaled,llm|1024|pre_d2h_alloc|,planner_debate,60,13916.0,0.0
react_moa_mcts,mcts-actor0,llm,1024,d2h_stage,,,template_scaled,llm|1024|d2h_stage|,planner_debate,60,219117.5,162019.0
react_moa_mcts,mcts-actor0,llm,1024,checksum_complete,,,template_scaled,llm|1024|checksum_complete|,planner_debate,60,78232.5,0.0
react_moa_mcts,<dag>,dag,,dag_schedule_gap,,,template_scaled,dag||dag_schedule_gap|,planner_debate+react_tool,180,43206.5,0.0
react_moa_mcts,mcts-actor1,llm,1024,adapter_dispatch,,,template_scaled,llm|1024|adapter_dispatch|,planner_debate,60,1186366.5,0.0
react_moa_mcts,mcts-actor1,llm,1024,token_preprocess_cpu,,,template_scaled,llm|1024|token_preprocess_cpu|,planner_debate,60,313924.5,0.0
react_moa_mcts,mcts-actor1,llm,1024,host_input_generate,,,template_scaled,llm|1024|host_input_generate|,planner_debate,60,9148350.0,0.0
react_moa_mcts,mcts-actor1,llm,1024,h2d_stage,,,template_scaled,llm|1024|h2d_stage|,planner_debate,60,262858.5,151029.5
react_moa_mcts,mcts-actor1,llm,1024,weight_init,,,template_scaled,llm|1024|weight_init|,planner_debate,60,166527.5,7071.0
react_moa_mcts,mcts-actor1,llm,1024,mir_operator:RMSNormOp,RMSNormOp,6,template_scaled,llm|1024|mir_operator:RMSNormOp|RMSNormOp,planner_debate,120,270176.5,19229.5
react_moa_mcts,mcts-actor1,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,mcts-actor1,llm,1024,mir_operator:AddOp,AddOp,7,template_scaled,llm|1024|mir_operator:AddOp|AddOp,planner_debate,60,104327.0,2048.0
react_moa_mcts,mcts-actor1,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,mcts-actor1,llm,1024,mir_operator:RMSNormOp,RMSNormOp,8,template_scaled,llm|1024|mir_operator:RMSNormOp|RMSNormOp,planner_debate,120,270176.5,19229.5
react_moa_mcts,mcts-actor1,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,mcts-actor1,llm,1024,mir_operator:LinearOp,LinearOp,10,template_scaled,llm|1024|mir_operator:LinearOp|LinearOp,planner_debate,180,109502.0,19677.0
react_moa_mcts,mcts-actor1,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,mcts-actor1,llm,1024,mir_operator:LinearOp,LinearOp,11,template_scaled,llm|1024|mir_operator:LinearOp|LinearOp,planner_debate,180,109502.0,19677.0
react_moa_mcts,mcts-actor1,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,mcts-actor1,llm,1024,mir_operator:LinearOp,LinearOp,12,template_scaled,llm|1024|mir_operator:LinearOp|LinearOp,planner_debate,180,109502.0,19677.0
react_moa_mcts,mcts-actor1,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,mcts-actor1,llm,1024,mir_operator:ViewOp,ViewOp,13,template_scaled,llm|1024|mir_operator:ViewOp|ViewOp,planner_debate,60,75864.5,0.0
react_moa_mcts,mcts-actor1,llm,1024,inter_operator_dispatch,,,template_scaled,llm|1024|inter_operator_dispatch|,planner_debate,420,8091.0,0.0
react_moa_mcts,mcts-actor1,llm,1024,mir_operator:TransposeOp,TransposeOp,14,template_scaled,llm|1024|mir_operator:TransposeOp|TransposeOp,planner_debate,60,129329.0,12381.5
react_moa_mcts,mcts-actor1,llm,1024,pre_d2h_alloc,,,template_scaled,llm|1024|pre_d2h_alloc|,planner_debate,60,13916.0,0.0
react_moa_mcts,mcts-actor1,llm,1024,d2h_stage,,,template_scaled,llm|1024|d2h_stage|,planner_debate,60,219117.5,162019.0
react_moa_mcts,mcts-actor1,llm,1024,checksum_complete,,,template_scaled,llm|1024|checksum_complete|,planner_debate,60,78232.5,0.0
react_moa_mcts,<dag>,dag,,dag_schedule_gap,,,template_scaled,dag||dag_schedule_gap|,planner_debate+react_tool,180,43206.5,0.0
react_moa_mcts,moa-reduce,llm,1024,adapter_dispatch,,,template_scaled,llm|1024|adapter_dispatch|,planner_debate,60,1186366.5,0.0
react_moa_mcts,moa-reduce,llm,1024,token_preprocess_cpu,,,template_scaled,llm|1024|token_preprocess_cpu|,planner_debate,60,313924.5,0.0
react_moa_mcts,moa-reduce,llm,1024,host_input_generate,,,template_scaled,llm|1024|host_input_generate|,planner_debate,60,9148350.0,0.0
react_moa_mcts,moa-reduce,llm,1024,h2d_stage,,,template_scaled,llm|1024|h2d_stage|,planner_debate,60,262858.5,151029.5
react_moa_mcts,moa-reduce,llm,1024,weight_init,,,template_scaled,llm|1024|weight_init|,planner_debate,60,166527.5,7071.0
react_moa_mcts,moa-reduce,llm,1024,mir_operator:RMSNormOp,RMSNormOp,6,template_scaled,llm|1024|mir_operator:RMSNormOp|RMSNormOp,planner_debate,120,270176.5,19229.5
