workload,iteration,launch_order,call_id,process,op_index,kind,family,name,api_name,api_start_rel_us,gpu_start_rel_us,gpu_ns,launch_latency_ns,grid,block,stream
react_tool_L_it1,1,37,answer,mir_operator:RMSNormOp,8,kernel,reduce,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, fl",cudaLaunchKernel_v7000,359625.0,359658.2,11200,33199,192x1x1,32x16x1,7
react_tool_L_it1,1,38,answer,mir_operator:RMSNormOp,8,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (uns",cudaLaunchKernel_v7000,359644.2,359670.1,1568,25858,3x1x1,128x1x1,7
react_tool_L_it1,1,39,answer,mir_operator:RMSNormOp,8,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda(",cudaLaunchKernel_v7000,359662.8,359672.4,1088,9575,3x1x1,128x1x1,7
react_tool_L_it1,1,40,answer,mir_operator:RMSNormOp,8,kernel,elementwise_binary,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<",cudaLaunchKernel_v7000,359682.6,359689.1,25599,6527,36864x1x1,128x1x1,7
react_tool_L_it1,1,41,answer,mir_operator:RMSNormOp,8,kernel,copy,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[",cudaLaunchKernel_v7000,359703.7,359715.3,13248,11651,9216x1x1,128x1x1,7
react_tool_L_it1,1,42,answer,mir_operator:LinearOp,10,kernel,gemm,ampere_fp16_s1688gemm_fp16_64x128_sliced1x2_ldg8_f2f_nn,cudaLaunchKernel_v7000,359889.2,359900.5,372021,11367,48x24x1,128x1x1,7
react_tool_L_it1,1,43,answer,mir_operator:LinearOp,11,kernel,gemm,ampere_fp16_s1688gemm_fp16_64x128_sliced1x2_ldg8_f2f_nn,cudaLaunchKernel_v7000,360348.9,360357.0,370997,8039,48x24x1,128x1x1,7
react_tool_L_it1,1,44,answer,mir_operator:LinearOp,12,kernel,gemm,ampere_fp16_s1688gemm_fp16_64x128_sliced1x2_ldg8_f2f_nn,cudaLaunchKernel_v7000,360851.1,360863.3,370678,12213,48x24x1,128x1x1,7
react_tool_L_it1,1,45,answer,mir_operator:TransposeOp,14,kernel,copy,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_ke",cudaLaunchKernel_v7000,361423.1,361435.1,133020,11936,18432x1x1,128x1x1,7
react_tool_L_it1,1,46,answer,d2h_stage,,memcpy,memcpy,memcpy_Device-to-Host,cudaMemcpyAsync_v3020,361640.3,361653.5,832744,13126,0x0x0,0x0x0,7
