workload,phase,iteration,call_id,call_kind,process,op_index,op_type,engine,basis,start,end,host_ns,gpu_work_ns,gpu_busy_union_ns,kernel_launches,memcpy_memset,cuda_api_ns,cuda_api_calls,cuda_api_top,host_minus_api_ns,kernel_families
planner_debate_L_it1,measured,0,critic-merge,llm,adapter_dispatch,,,,gap_between_markers,5228379128,5229840504,1461376,0,0,0,0,0,0,,1461376,
planner_debate_L_it1,measured,0,critic-merge,llm,token_preprocess_cpu,,,,host_event,5229840504,5230075525,235021,0,0,0,0,0,0,,235021,
planner_debate_L_it1,measured,0,critic-merge,llm,host_input_generate,,,,gap_between_markers,5230075525,5343966939,113891414,0,0,0,0,12615,2,cudaEventQuery,113878799,
planner_debate_L_it1,measured,0,critic-merge,llm,h2d_stage,,,,host_event,5343966939,5345519549,1552610,1385528,1385528,0,1,1431629,6,cudaEventSynchronize,120981,memcpy
planner_debate_L_it1,measured,0,critic-merge,llm,weight_init,,,,gap_between_markers,5345519549,5345729052,209503,55454,55454,2,0,48620,7,cudaLaunchKernel,160883,elementwise_binary|rng_init
planner_debate_L_it1,measured,0,critic-merge,llm,mir_operator:RMSNormOp,6,RMSNormOp,ve,nvtx_range,5345729052,5346367804,638752,519025,519025,7,0,417507,14,cudaEventSynchronize,221245,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L_it1,measured,0,critic-merge,llm,inter_operator_dispatch,,,,gap_between_markers,5346367804,5346379268,11464,0,0,0,0,0,0,,11464,
planner_debate_L_it1,measured,0,critic-merge,llm,mir_operator:AddOp,7,AddOp,ve,nvtx_range,5346379268,5346473104,93836,27775,27775,1,0,26536,8,cudaLaunchKernel,67300,elementwise_binary
planner_debate_L_it1,measured,0,critic-merge,llm,inter_operator_dispatch,,,,gap_between_markers,5346473104,5346479790,6686,0,0,0,0,0,0,,6686,
planner_debate_L_it1,measured,0,critic-merge,llm,mir_operator:RMSNormOp,8,RMSNormOp,ve,nvtx_range,5346479790,5347036881,557091,490417,490417,7,0,413510,14,cudaEventSynchronize,143581,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L_it1,measured,0,critic-merge,llm,inter_operator_dispatch,,,,gap_between_markers,5347036881,5347045284,8403,0,0,0,0,0,0,,8403,
planner_debate_L_it1,measured,0,critic-merge,llm,mir_operator:LinearOp,10,LinearOp,me,nvtx_range,5347045284,5348029330,984046,852168,852168,1,1,863428,9,cudaEventSynchronize,120618,gemm|memset
planner_debate_L_it1,measured,0,critic-merge,llm,inter_operator_dispatch,,,,gap_between_markers,5348029330,5348037140,7810,0,0,0,0,0,0,,7810,
planner_debate_L_it1,measured,0,critic-merge,llm,mir_operator:LinearOp,11,LinearOp,me,nvtx_range,5348037140,5348966432,929292,852167,852167,1,1,854547,9,cudaEventSynchronize,74745,gemm|memset
planner_debate_L_it1,measured,0,critic-merge,llm,inter_operator_dispatch,,,,gap_between_markers,5348966432,5348974502,8070,0,0,0,0,0,0,,8070,
planner_debate_L_it1,measured,0,critic-merge,llm,mir_operator:LinearOp,12,LinearOp,me,nvtx_range,5348974502,5350020492,1045990,975268,975268,1,1,976800,9,cudaEventSynchronize,69190,gemm|memset
planner_debate_L_it1,measured,0,critic-merge,llm,inter_operator_dispatch,,,,gap_between_markers,5350020492,5350027629,7137,0,0,0,0,0,0,,7137,
planner_debate_L_it1,measured,0,critic-merge,llm,mir_operator:ViewOp,13,ViewOp,de,nvtx_range,5350027629,5350169989,142360,0,0,0,0,86894,7,cudaEventSynchronize,55466,
planner_debate_L_it1,measured,0,critic-merge,llm,inter_operator_dispatch,,,,gap_between_markers,5350169989,5350175318,5329,0,0,0,0,0,0,,5329,
planner_debate_L_it1,measured,0,critic-merge,llm,mir_operator:TransposeOp,14,TransposeOp,de,nvtx_range,5350175318,5350494890,319572,226362,226362,1,0,222785,8,cudaEventSynchronize,96787,copy
planner_debate_L_it1,measured,0,critic-merge,llm,pre_d2h_alloc,,,,gap_between_markers,5350494890,5350509790,14900,0,0,0,0,0,0,,14900,
planner_debate_L_it1,measured,0,critic-merge,llm,d2h_stage,,,,host_event,5350509790,5352032624,1522834,1467062,1467062,0,1,1473939,6,cudaEventSynchronize,48895,memcpy
planner_debate_L_it1,measured,0,critic-merge,llm,checksum_complete,,,,gap_between_markers,5352032624,5352116362,83738,0,0,0,0,2039,2,cudaEventDestroy,81699,
planner_debate_L_it1,measured,0,,dag,dag_schedule_gap,,,,gap_between_markers,5352116362,5352160549,44187,0,0,0,0,4603,2,cudaEventRecord,39584,
planner_debate_L_it1,measured,0,planner-final,llm,adapter_dispatch,,,,gap_between_markers,5352160549,5353131792,971243,0,0,0,0,0,0,,971243,
planner_debate_L_it1,measured,0,planner-final,llm,token_preprocess_cpu,,,,host_event,5353131792,5353451413,319621,0,0,0,0,0,0,,319621,
planner_debate_L_it1,measured,0,planner-final,llm,host_input_generate,,,,gap_between_markers,5353451413,5439936019,86484606,0,0,0,0,10541,2,cudaEventQuery,86474065,
planner_debate_L_it1,measured,0,planner-final,llm,h2d_stage,,,,host_event,5439936019,5441200754,1264735,1111137,1111137,0,1,1153130,6,cudaEventSynchronize,111605,memcpy
planner_debate_L_it1,measured,0,planner-final,llm,weight_init,,,,gap_between_markers,5441200754,5441399198,198444,43167,43167,2,0,46055,7,cudaLaunchKernel,152389,elementwise_binary|rng_init
planner_debate_L_it1,measured,0,planner-final,llm,mir_operator:RMSNormOp,6,RMSNormOp,ve,nvtx_range,5441399198,5441827196,427998,319799,319799,7,0,209820,14,cudaEventSynchronize,218178,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L_it1,measured,0,planner-final,llm,inter_operator_dispatch,,,,gap_between_markers,5441827196,5441838139,10943,0,0,0,0,0,0,,10943,
planner_debate_L_it1,measured,0,planner-final,llm,mir_operator:AddOp,7,AddOp,ve,nvtx_range,5441838139,5441923346,85207,14752,14752,1,0,20879,8,cudaLaunchKernel,64328,elementwise_binary
planner_debate_L_it1,measured,0,planner-final,llm,inter_operator_dispatch,,,,gap_between_markers,5441923346,5441930209,6863,0,0,0,0,0,0,,6863,
planner_debate_L_it1,measured,0,planner-final,llm,mir_operator:RMSNormOp,8,RMSNormOp,ve,nvtx_range,5441930209,5442287732,357523,292760,292760,7,0,228570,14,cudaEventSynchronize,128953,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L_it1,measured,0,planner-final,llm,inter_operator_dispatch,,,,gap_between_markers,5442287732,5442294537,6805,0,0,0,0,0,0,,6805,
planner_debate_L_it1,measured,0,planner-final,llm,mir_operator:LinearOp,10,LinearOp,me,nvtx_range,5442294537,5443054120,759583,635630,635630,1,0,639481,9,cudaEventSynchronize,120102,gemm
planner_debate_L_it1,measured,0,planner-final,llm,inter_operator_dispatch,,,,gap_between_markers,5443054120,5443061035,6915,0,0,0,0,0,0,,6915,
planner_debate_L_it1,measured,0,planner-final,llm,mir_operator:LinearOp,11,LinearOp,me,nvtx_range,5443061035,5443765160,704125,633198,633198,1,0,632135,9,cudaEventSynchronize,71990,gemm
planner_debate_L_it1,measured,0,planner-final,llm,inter_operator_dispatch,,,,gap_between_markers,5443765160,5443771615,6455,0,0,0,0,0,0,,6455,
planner_debate_L_it1,measured,0,planner-final,llm,mir_operator:LinearOp,12,LinearOp,me,nvtx_range,5443771615,5444469106,697491,634478,634478,1,0,632861,9,cudaEventSynchronize,64630,gemm
planner_debate_L_it1,measured,0,planner-final,llm,inter_operator_dispatch,,,,gap_between_markers,5444469106,5444476018,6912,0,0,0,0,0,0,,6912,
planner_debate_L_it1,measured,0,planner-final,llm,mir_operator:ViewOp,13,ViewOp,de,nvtx_range,5444476018,5444538503,62485,0,0,0,0,10196,7,cudaEventRecord,52289,
planner_debate_L_it1,measured,0,planner-final,llm,inter_operator_dispatch,,,,gap_between_markers,5444538503,5444543224,4721,0,0,0,0,0,0,,4721,
planner_debate_L_it1,measured,0,planner-final,llm,mir_operator:TransposeOp,14,TransposeOp,de,nvtx_range,5444543224,5444806894,263670,177627,177627,1,0,173579,8,cudaEventSynchronize,90091,copy
planner_debate_L_it1,measured,0,planner-final,llm,pre_d2h_alloc,,,,gap_between_markers,5444806894,5444819849,12955,0,0,0,0,0,0,,12955,
planner_debate_L_it1,measured,0,planner-final,llm,d2h_stage,,,,host_event,5444819849,5445994493,1174644,1131104,1131104,0,1,1135509,6,cudaEventSynchronize,39135,memcpy
planner_debate_L_it1,measured,0,planner-final,llm,checksum_complete,,,,gap_between_markers,5445994493,5446071794,77301,0,0,0,0,1569,2,cudaEventDestroy,75732,
planner_debate_L_it1,measured,0,,dag,iteration_tail_sync,,,,gap_to_phase_end,5446071794,5446134474,62680,0,0,0,0,10664,3,cudaDeviceSynchronize,52016,
planner_debate_L_it1,measured,1,,dag,dag_schedule_gap,,,,gap_between_markers,5446167280,5446181053,13773,0,0,0,0,0,0,,13773,
planner_debate_L_it1,measured,1,planner-seed,llm,adapter_dispatch,,,,gap_between_markers,5446181053,5447096892,915839,0,0,0,0,0,0,,915839,
planner_debate_L_it1,measured,1,planner-seed,llm,token_preprocess_cpu,,,,host_event,5447096892,5447473941,377049,0,0,0,0,0,0,,377049,
planner_debate_L_it1,measured,1,planner-seed,llm,host_input_generate,,,,gap_between_markers,5447473941,5532000368,84526427,0,0,0,0,9206,2,cudaEventQuery,84517221,
planner_debate_L_it1,measured,1,planner-seed,llm,h2d_stage,,,,host_event,5532000368,5533649863,1649495,1508021,1508021,0,1,1544810,6,cudaEventSynchronize,104685,memcpy
planner_debate_L_it1,measured,1,planner-seed,llm,weight_init,,,,gap_between_markers,5533649863,5533833810,183947,42783,42783,2,0,43181,7,cudaLaunchKernel,140766,elementwise_binary|rng_init
planner_debate_L_it1,measured,1,planner-seed,llm,mir_operator:RMSNormOp,6,RMSNormOp,ve,nvtx_range,5533833810,5534258299,424489,321303,321303,7,0,228919,14,cudaEventSynchronize,195570,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L_it1,measured,1,planner-seed,llm,inter_operator_dispatch,,,,gap_between_markers,5534258299,5534267654,9355,0,0,0,0,0,0,,9355,
planner_debate_L_it1,measured,1,planner-seed,llm,mir_operator:AddOp,7,AddOp,ve,nvtx_range,5534267654,5534347322,79668,14816,14816,1,0,19112,8,cudaLaunchKernel,60556,elementwise_binary
planner_debate_L_it1,measured,1,planner-seed,llm,inter_operator_dispatch,,,,gap_between_markers,5534347322,5534353213,5891,0,0,0,0,0,0,,5891,
planner_debate_L_it1,measured,1,planner-seed,llm,mir_operator:RMSNormOp,8,RMSNormOp,ve,nvtx_range,5534353213,5534705812,352599,290295,290295,7,0,230639,14,cudaEventSynchronize,121960,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L_it1,measured,1,planner-seed,llm,inter_operator_dispatch,,,,gap_between_markers,5534705812,5534713215,7403,0,0,0,0,0,0,,7403,
planner_debate_L_it1,measured,1,planner-seed,llm,mir_operator:LinearOp,10,LinearOp,me,nvtx_range,5534713215,5535464380,751165,636366,636366,1,0,638958,9,cudaEventSynchronize,112207,gemm
planner_debate_L_it1,measured,1,planner-seed,llm,inter_operator_dispatch,,,,gap_between_markers,5535464380,5535470524,6144,0,0,0,0,0,0,,6144,
planner_debate_L_it1,measured,1,planner-seed,llm,mir_operator:LinearOp,11,LinearOp,me,nvtx_range,5535470524,5536168623,698099,635470,635470,1,0,635111,9,cudaEventSynchronize,62988,gemm
planner_debate_L_it1,measured,1,planner-seed,llm,inter_operator_dispatch,,,,gap_between_markers,5536168623,5536174900,6277,0,0,0,0,0,0,,6277,
planner_debate_L_it1,measured,1,planner-seed,llm,mir_operator:LinearOp,12,LinearOp,me,nvtx_range,5536174900,5536874698,699798,635374,635374,1,0,636112,9,cudaEventSynchronize,63686,gemm
planner_debate_L_it1,measured,1,planner-seed,llm,inter_operator_dispatch,,,,gap_between_markers,5536874698,5536882071,7373,0,0,0,0,0,0,,7373,
planner_debate_L_it1,measured,1,planner-seed,llm,mir_operator:ViewOp,13,ViewOp,de,nvtx_range,5536882071,5536945299,63228,0,0,0,0,10830,7,cudaEventRecord,52398,
planner_debate_L_it1,measured,1,planner-seed,llm,inter_operator_dispatch,,,,gap_between_markers,5536945299,5536950637,5338,0,0,0,0,0,0,,5338,
planner_debate_L_it1,measured,1,planner-seed,llm,mir_operator:TransposeOp,14,TransposeOp,de,nvtx_range,5536950637,5537213440,262803,177211,177211,1,0,173903,8,cudaEventSynchronize,88900,copy
planner_debate_L_it1,measured,1,planner-seed,llm,pre_d2h_alloc,,,,gap_between_markers,5537213440,5537225478,12038,0,0,0,0,0,0,,12038,
planner_debate_L_it1,measured,1,planner-seed,llm,d2h_stage,,,,host_event,5537225478,5538378234,1152756,1110848,1110848,0,1,1114238,6,cudaEventSynchronize,38518,memcpy
planner_debate_L_it1,measured,1,planner-seed,llm,checksum_complete,,,,gap_between_markers,5538378234,5538449067,70833,0,0,0,0,1569,2,cudaEventDestroy,69264,
planner_debate_L_it1,measured,1,,dag,dag_schedule_gap,,,,gap_between_markers,5538449067,5538478221,29154,0,0,0,0,3825,2,cudaEventRecord,25329,
planner_debate_L_it1,measured,1,critic-a,llm,adapter_dispatch,,,,gap_between_markers,5538478221,5539374972,896751,0,0,0,0,0,0,,896751,
planner_debate_L_it1,measured,1,critic-a,llm,token_preprocess_cpu,,,,host_event,5539374972,5539841557,466585,0,0,0,0,0,0,,466585,
planner_debate_L_it1,measured,1,critic-a,llm,host_input_generate,,,,gap_between_markers,5539841557,5650654749,110813192,0,0,0,0,6847,2,cudaEventQuery,110806345,
planner_debate_L_it1,measured,1,critic-a,llm,h2d_stage,,,,host_event,5650654749,5652213668,1558919,1414743,1414743,0,1,1451971,6,cudaEventSynchronize,106948,memcpy
planner_debate_L_it1,measured,1,critic-a,llm,weight_init,,,,gap_between_markers,5652213668,5652395506,181838,55295,55295,2,0,44739,7,cudaLaunchKernel,137099,elementwise_binary|rng_init
planner_debate_L_it1,measured,1,critic-a,llm,mir_operator:RMSNormOp,6,RMSNormOp,ve,nvtx_range,5652395506,5653017955,622449,515570,515570,7,0,402395,14,cudaEventSynchronize,220054,copy|elementwise_binary|elementwise_unary|reduce
