workload,call_id,process,op_index,op_type,engine,instances,host_ns_median,host_ns_min,host_ns_max,gpu_ns_median,cuda_api_ns_median,cuda_api_top,kernel_families,kernels_per_instance
planner_debate_L_it1,critic-merge,weight_init,,,,8,214459.0,193801,267778,55662.0,49250.5,cudaLaunchKernel,elementwise_binary|rng_init,2
planner_debate_L_it1,critic-merge,mir_operator:RMSNormOp,6,RMSNormOp,ve,8,642757.0,628244,739734,518113.0,416337.5,cudaEventSynchronize,copy|elementwise_binary|elementwise_unary|reduce,7
planner_debate_L_it1,critic-merge,inter_operator_dispatch,,,,56,7458.5,5217,23459,0.0,0.0,,,0
planner_debate_L_it1,critic-merge,mir_operator:AddOp,7,AddOp,ve,8,94855.5,91170,254737,27071.5,26740.0,cudaLaunchKernel,elementwise_binary,1
planner_debate_L_it1,critic-merge,mir_operator:RMSNormOp,8,RMSNormOp,ve,8,562499.0,557091,575045,491409.5,422235.0,cudaEventSynchronize,copy|elementwise_binary|elementwise_unary|reduce,7
planner_debate_L_it1,critic-merge,mir_operator:LinearOp,10,LinearOp,me,8,987838.5,979060,1005364,852951.5,865299.5,cudaEventSynchronize,gemm|memset,1
planner_debate_L_it1,critic-merge,mir_operator:LinearOp,11,LinearOp,me,8,929196.5,927624,932706,852135.5,853887.0,cudaEventSynchronize,gemm|memset,1
planner_debate_L_it1,critic-merge,mir_operator:LinearOp,12,LinearOp,me,8,924494.5,922978,1045990,852088.0,854311.5,cudaEventSynchronize,gemm|memset,1
planner_debate_L_it1,critic-merge,mir_operator:ViewOp,13,ViewOp,de,8,68136.0,65600,142360,0.0,11151.0,cudaEventSynchronize,,0
planner_debate_L_it1,critic-merge,mir_operator:TransposeOp,14,TransposeOp,de,8,319675.5,312223,329525,226394.0,222765.0,cudaEventSynchronize,copy,1
planner_debate_L_it1,critic-merge,pre_d2h_alloc,,,,8,15430.5,13744,18238,0.0,0.0,,,0
planner_debate_L_it1,critic-merge,d2h_stage,,,,8,1537144.5,1511991,1627983,1483110.0,1494048.5,cudaEventSynchronize,memcpy,0
planner_debate_L_it1,critic-merge,checksum_complete,,,,8,83499.0,81059,91733,0.0,2081.0,cudaEventDestroy,,0
planner_debate_L_it1,planner-final,adapter_dispatch,,,,8,924928.0,874244,971243,0.0,0.0,,,0
planner_debate_L_it1,planner-final,token_preprocess_cpu,,,,8,370270.0,303749,414623,0.0,0.0,,,0
planner_debate_L_it1,planner-final,host_input_generate,,,,8,86389665.0,84731667,87895670,0.0,10538.0,cudaEventQuery,,0
planner_debate_L_it1,planner-final,h2d_stage,,,,8,1265782.5,1209632,1309944,1106752.5,1152833.0,cudaEventSynchronize,memcpy,0
planner_debate_L_it1,planner-final,weight_init,,,,8,203554.0,196513,220246,43215.0,46892.5,cudaLaunchKernel,elementwise_binary|rng_init,2
planner_debate_L_it1,planner-final,mir_operator:RMSNormOp,6,RMSNormOp,ve,8,435129.5,426026,453680,319991.0,219110.0,cudaEventSynchronize,copy|elementwise_binary|elementwise_unary|reduce,7
planner_debate_L_it1,planner-final,inter_operator_dispatch,,,,56,6954.5,4349,12253,0.0,0.0,,,0
planner_debate_L_it1,planner-final,mir_operator:AddOp,7,AddOp,ve,8,87097.5,79842,96774,14767.5,20834.5,cudaLaunchKernel,elementwise_binary,1
planner_debate_L_it1,planner-final,mir_operator:RMSNormOp,8,RMSNormOp,ve,8,357315.5,351666,360950,291095.5,223024.0,cudaEventSynchronize,copy|elementwise_binary|elementwise_unary|reduce,7
planner_debate_L_it1,planner-final,mir_operator:LinearOp,10,LinearOp,me,8,769150.0,759583,813285,636173.5,640589.0,cudaEventSynchronize,gemm,1
planner_debate_L_it1,planner-final,mir_operator:LinearOp,11,LinearOp,me,8,705716.0,701322,714630,633182.0,633208.0,cudaEventSynchronize,gemm,1
planner_debate_L_it1,planner-final,mir_operator:LinearOp,12,LinearOp,me,8,702970.0,694164,707508,635758.0,635857.5,cudaEventSynchronize,gemm,1
planner_debate_L_it1,planner-final,mir_operator:ViewOp,13,ViewOp,de,8,64610.0,59576,90417,0.0,10703.5,cudaEventRecord,,0
planner_debate_L_it1,planner-final,mir_operator:TransposeOp,14,TransposeOp,de,8,266950.0,263670,365974,177643.0,173803.5,cudaEventSynchronize,copy,1
planner_debate_L_it1,planner-final,pre_d2h_alloc,,,,8,15030.0,12955,15990,0.0,0.0,,,0
planner_debate_L_it1,planner-final,d2h_stage,,,,8,1187850.0,1162581,1443382,1139503.5,1147622.0,cudaEventSynchronize,memcpy,0
planner_debate_L_it1,planner-final,checksum_complete,,,,8,81071.5,77301,91855,0.0,1807.5,cudaEventDestroy,,0
planner_debate_L_it1,,dag_schedule_gap,,,,48,39851.0,13244,1012777,0.0,4256.5,,,0
planner_debate_L_it1,,iteration_tail_sync,,,,8,63432.5,53998,100343,0.0,11889.0,cudaDeviceSynchronize,,0
