policy,program_id,class,call_index,submit_ns,first_token_ns,finish_ns,queue_wait_ns,decode_ns,call_ns,prompt_tokens,output_tokens
plas,p00015,lats,6,165824939208203,165825028627380,165826975853012,89419177,1947225632,2036644809,637,85
plas,p00031,lats,2,165825332614641,165825420710377,165827047438255,88095736,1626727878,1714823614,678,72
plas,p00029,agent,2,165823750243431,165823821351867,165827069140854,71108436,3247788987,3318897423,532,141
plas,p00039,chat,2,165825637925466,165825710297350,165827214229512,72371884,1503932162,1576304046,573,66
plas,p00008,agent,5,165824048225141,165824140492018,165827258831038,92266877,3118339020,3210605897,1949,136
plas,p00010,lats,8,165824070995672,165824149005137,165827442952036,78009465,3293946899,3371956364,746,143
plas,p00041,lats,0,165824930794229,165825018905917,165827443309765,88111688,2424403848,2512515536,257,106
plas,p00032,lats,2,165825459760608,165825524961046,165827632333008,65200438,2107371962,2172572400,337,92
plas,p00035,lats,2,165823491045307,165823567630194,165827653804828,76584887,4086174634,4162759521,362,177
plas,p00036,lats,1,165825018506932,165825097583985,165827777064657,79077053,2679480672,2758557725,542,116
plas,p00018,agent,3,165821995654298,165822068379787,165827799633866,72725489,5731254079,5803979568,1712,248
plas,p00043,agent,0,165825411747494,165825460211414,165827877003891,48463920,2416792477,2465256397,1028,105
plas,p00019,agent,2,165823441798816,165823520789264,165828154570948,78990448,4633781684,4712772132,1752,200
plas,p00045,chat,0,165826910837691,165826976314578,165828155043672,65476887,1178729094,1244205981,503,51
plas,p00000,agent,6,165825142419558,165825232203350,165828213378443,89783792,2981175093,3070958885,1963,129
plas,p00002,agent,5,165826237069453,165826310467436,165828228744146,73397983,1918276710,1991674693,1590,83
plas,p00033,agent,1,165822470448789,165822547841664,165828324332585,77392875,5776490921,5853883796,1433,249
plas,p00017,agent,5,165825166540013,165825243782667,165828462396067,77242654,3218613400,3295856054,896,139
plas,p00005,lats,5,165824754080464,165824826146838,165828667823070,72066374,3841676232,3913742606,459,165
plas,p00044,lats,0,165826730320481,165826809084947,165828668265048,78764466,1859180101,1937944567,783,80
plas,p00004,lats,7,165825354874477,165825443289657,165828726029666,88415180,3282740009,3371155189,647,142
plas,p00010,lats,9,165827443095024,165827516958116,165828765806246,73863092,1248848130,1322711222,684,54
plas,p00037,chat,2,165826031519208,165826104052558,165828839406783,72533350,2735354225,2807887575,214,118
plas,p00038,lats,2,165825764579624,165825832227039,165828882277418,67647415,3050050379,3117697794,571,132
plas,p00035,lats,3,165827653915504,165827732603810,165828941196966,78688306,1208593156,1287281462,299,52
plas,p00013,lats,4,165824592808418,165824667407981,165829090804780,74599563,4423396799,4497996362,657,190
plas,p00048,lats,0,165828073219185,165828132742507,165829257475299,59523322,1124732792,1184256114,438,49
plas,p00042,lats,0,165824961311415,165825028605873,165829350574144,67294458,4321968271,4389262729,563,186
plas,p00047,lats,0,165827558465402,165827632811116,165829422417028,74345714,1789605912,1863951626,911,77
plas,p00040,lats,1,165826031889574,165826104032162,165829538442409,72142588,3434410247,3506552835,446,148
plas,p00045,chat,1,165828155105758,165828229225079,165829676743711,74119321,1447518632,1521637953,531,63
plas,p00015,lats,7,165826975973056,165827047897281,165829814744311,71924225,2766847030,2838771255,545,119
plas,p00002,agent,6,165828228864381,165828305829846,165829873251164,76965465,1567421318,1644386783,1678,68
plas,p00005,lats,6,165828667962707,165828740154624,165829980819880,72191917,1240665256,1312857173,398,54
plas,p00046,lats,0,165827082847048,165827150265113,165830037824265,67418065,2887559152,2954977217,429,124
