workload,process,instances,host_ns_total,host_share_pct,host_ns_per_instance,gpu_ns_total,gpu_share_pct,cuda_api_ns_total,cuda_api_share_of_host_pct,kernel_launches,gpu_over_host_pct
react_tool,mir_operator:prefill_layer08,6,6282310,0.05,1047051.7,2349142,0.07,1428689,22.7,270,37.4
react_tool,mir_operator:prefill_layer09,6,6264684,0.05,1044114.0,2342991,0.07,1417554,22.6,270,37.4
react_tool,mir_operator:prefill_sample,6,5317544,0.04,886257.3,49313,0.0,5025211,94.5,6,0.9
react_tool,pre_d2h_alloc,6,3026120,0.02,504353.3,4480,0.0,159466,5.3,0,0.1
react_tool,dag_schedule_gap,9,2537763,0.02,281973.7,0,0.0,20867,0.8,0,0.0
react_tool,mir_operator:prefill_head,6,1655017,0.01,275836.2,5635147,0.18,312066,18.9,54,340.5
react_tool,weight_init,6,1151317,0.01,191886.2,0,0.0,15508,1.3,0,0.0
react_tool,d2h_stage,6,865311,0.01,144218.5,5600,0.0,221190,25.6,0,0.6
react_tool,agent_tool_execute_cpu,3,859261,0.01,286420.3,0,0.0,0,0.0,0,0.0
react_tool,host_input_generate,6,716609,0.01,119434.8,0,0.0,31773,4.4,0,0.0
react_tool,h2d_stage,6,690716,0.01,115119.3,2528,0.0,231491,33.5,0,0.4
react_tool,mir_operator:prefill_embed,6,544466,0.0,90744.3,10496,0.0,103092,18.9,6,1.9
react_tool,iteration_tail_sync,3,350254,0.0,116751.3,0,0.0,53970,15.4,0,0.0
react_tool,checksum_complete,6,277404,0.0,46234.0,0,0.0,17783,6.4,0,0.0
react_tool,adapter_dispatch,6,31923,0.0,5320.5,0,0.0,0,0.0,0,0.0
