call_kind,matrix_size,process,op_type,template_source,samples,host_ns_median,host_ns_p90,gpu_ns_median
llm,1024,mir_operator:decode_layer23,decode_layer23,planner_debate,807,1207901.0,1266389.0,206112.0
llm,1024,mir_operator:decode_layer24,decode_layer24,planner_debate,807,1208881.0,1267918.0,206338.0
llm,1024,mir_operator:decode_layer25,decode_layer25,planner_debate,807,1202700.0,1263296.0,206433.0
llm,1024,mir_operator:decode_layer26,decode_layer26,planner_debate,807,1207526.0,1268930.0,206720.0
llm,1024,mir_operator:decode_layer27,decode_layer27,planner_debate,807,1208587.0,1266181.0,206337.0
llm,1024,mir_operator:decode_sample,decode_sample,planner_debate,807,616937.0,628318.0,7648.0
llm,1024,mir_operator:prefill_embed,prefill_embed,planner_debate,9,100069.0,112804.0,2368.0
llm,1024,mir_operator:prefill_head,prefill_head,planner_debate,9,252278.0,285907.0,2027341.0
llm,1024,mir_operator:prefill_layer00,prefill_layer00,planner_debate,9,1486269.0,1841396.0,539490.0
llm,1024,mir_operator:prefill_layer01,prefill_layer01,planner_debate,9,1373592.0,1446538.0,540196.0
llm,1024,mir_operator:prefill_layer02,prefill_layer02,planner_debate,9,1339369.0,1413630.0,540482.0
llm,1024,mir_operator:prefill_layer03,prefill_layer03,planner_debate,9,1334350.0,1346069.0,540482.0
llm,1024,mir_operator:prefill_layer04,prefill_layer04,planner_debate,9,1273645.0,1346365.0,540707.0
llm,1024,mir_operator:prefill_layer05,prefill_layer05,planner_debate,9,1243339.0,1330504.0,539044.0
llm,1024,mir_operator:prefill_layer06,prefill_layer06,planner_debate,9,1233092.0,1332866.0,540226.0
llm,1024,mir_operator:prefill_layer07,prefill_layer07,planner_debate,9,1236374.0,1321542.0,541219.0
llm,1024,mir_operator:prefill_layer08,prefill_layer08,planner_debate,9,1235443.0,1329052.0,541667.0
llm,1024,mir_operator:prefill_layer09,prefill_layer09,planner_debate,9,1292693.0,1327846.0,540677.0
llm,1024,mir_operator:prefill_layer10,prefill_layer10,planner_debate,9,1230857.0,1328634.0,540994.0
llm,1024,mir_operator:prefill_layer11,prefill_layer11,planner_debate,9,1275445.0,1325973.0,540324.0
llm,1024,mir_operator:prefill_layer12,prefill_layer12,planner_debate,9,1291398.0,1320838.0,540834.0
llm,1024,mir_operator:prefill_layer13,prefill_layer13,planner_debate,9,1287625.0,1319000.0,540739.0
llm,1024,mir_operator:prefill_layer14,prefill_layer14,planner_debate,9,1304326.0,1315759.0,655780.0
llm,1024,mir_operator:prefill_layer15,prefill_layer15,planner_debate,9,1301526.0,1321360.0,539938.0
llm,1024,mir_operator:prefill_layer16,prefill_layer16,planner_debate,9,1286570.0,1318458.0,541859.0
llm,1024,mir_operator:prefill_layer17,prefill_layer17,planner_debate,9,1289501.0,1315945.0,539622.0
llm,1024,mir_operator:prefill_layer18,prefill_layer18,planner_debate,9,1281924.0,1302658.0,541060.0
llm,1024,mir_operator:prefill_layer19,prefill_layer19,planner_debate,9,1274604.0,1311585.0,541538.0
llm,1024,mir_operator:prefill_layer20,prefill_layer20,planner_debate,9,1284464.0,1310333.0,541444.0
llm,1024,mir_operator:prefill_layer21,prefill_layer21,planner_debate,9,1295102.0,1373872.0,540548.0
llm,1024,mir_operator:prefill_layer22,prefill_layer22,planner_debate,9,1292040.0,1682799.0,540834.0
llm,1024,mir_operator:prefill_layer23,prefill_layer23,planner_debate,9,1237965.0,1428210.0,541188.0
llm,1024,mir_operator:prefill_layer24,prefill_layer24,planner_debate,9,1268025.0,1355002.0,539650.0
llm,1024,mir_operator:prefill_layer25,prefill_layer25,planner_debate,9,1280266.0,1331429.0,542566.0
llm,1024,mir_operator:prefill_layer26,prefill_layer26,planner_debate,9,1270087.0,1326676.0,541540.0
llm,1024,mir_operator:prefill_layer27,prefill_layer27,planner_debate,9,1266066.0,1360944.0,540803.0
llm,1024,mir_operator:prefill_sample,prefill_sample,planner_debate,9,1956690.0,2706915.0,8256.0
llm,1024,pre_d2h_alloc,,planner_debate,9,405386.0,5017277.0,736.0
llm,1024,token_preprocess_cpu,,planner_debate,9,1754026.0,2583978.0,0.0
llm,1024,weight_init,,planner_debate,9,194898.0,239063.0,0.0
llm,768,adapter_dispatch,,react_tool,6,4078.5,4706.0,0.0
llm,768,checksum_complete,,react_tool,6,49243.0,50670.0,0.0
llm,768,d2h_stage,,react_tool,6,137886.0,139958.0,864.0
llm,768,h2d_stage,,react_tool,6,123623.5,136077.0,400.0
llm,768,host_input_generate,,react_tool,6,124325.0,135349.0,0.0
llm,768,inter_operator_dispatch,,react_tool,10410,20386.0,39997.0,0.0
llm,768,mir_operator:decode_embed,decode_embed,react_tool,330,52014.0,61130.0,1888.0
llm,768,mir_operator:decode_head,decode_head,react_tool,330,229440.5,248637.0,662403.5
llm,768,mir_operator:decode_layer00,decode_layer00,react_tool,330,1243078.0,1305888.0,203232.5
llm,768,mir_operator:decode_layer01,decode_layer01,react_tool,330,1190367.0,1240829.0,202497.0
llm,768,mir_operator:decode_layer02,decode_layer02,react_tool,330,1182958.5,1228736.0,202562.0
llm,768,mir_operator:decode_layer03,decode_layer03,react_tool,330,1173938.0,1223304.0,202467.5
llm,768,mir_operator:decode_layer04,decode_layer04,react_tool,330,1176653.0,1226143.0,202530.0
llm,768,mir_operator:decode_layer05,decode_layer05,react_tool,330,1173273.5,1221760.0,202705.0
llm,768,mir_operator:decode_layer06,decode_layer06,react_tool,330,1173828.0,1228318.0,203009.0
llm,768,mir_operator:decode_layer07,decode_layer07,react_tool,330,1171628.5,1226359.0,202529.0
llm,768,mir_operator:decode_layer08,decode_layer08,react_tool,330,1172490.0,1223648.0,202560.0
llm,768,mir_operator:decode_layer09,decode_layer09,react_tool,330,1169572.5,1222100.0,202721.0
llm,768,mir_operator:decode_layer10,decode_layer10,react_tool,330,1167243.0,1215494.0,202368.5
llm,768,mir_operator:decode_layer11,decode_layer11,react_tool,330,1166257.0,1222400.0,202401.0
llm,768,mir_operator:decode_layer12,decode_layer12,react_tool,330,1167551.5,1224020.0,202722.0
llm,768,mir_operator:decode_layer13,decode_layer13,react_tool,330,1165291.5,1221797.0,202560.0
llm,768,mir_operator:decode_layer14,decode_layer14,react_tool,330,1167157.0,1217468.0,202593.5
llm,768,mir_operator:decode_layer15,decode_layer15,react_tool,330,1167400.5,1227112.0,202769.5
llm,768,mir_operator:decode_layer16,decode_layer16,react_tool,330,1167053.0,1222583.0,202529.0
llm,768,mir_operator:decode_layer17,decode_layer17,react_tool,330,1169443.5,1220408.0,202753.0
llm,768,mir_operator:decode_layer18,decode_layer18,react_tool,330,1169011.5,1219809.0,202656.0
llm,768,mir_operator:decode_layer19,decode_layer19,react_tool,330,1170781.5,1223272.0,202561.0
llm,768,mir_operator:decode_layer20,decode_layer20,react_tool,330,1162649.0,1218446.0,202721.0
llm,768,mir_operator:decode_layer21,decode_layer21,react_tool,330,1162665.0,1217523.0,202529.0
llm,768,mir_operator:decode_layer22,decode_layer22,react_tool,330,1158758.0,1214718.0,202561.0
llm,768,mir_operator:decode_layer23,decode_layer23,react_tool,330,1165009.0,1220420.0,202466.5
llm,768,mir_operator:decode_layer24,decode_layer24,react_tool,330,1166164.0,1217758.0,202626.0
llm,768,mir_operator:decode_layer25,decode_layer25,react_tool,330,1164697.5,1216702.0,202689.0
llm,768,mir_operator:decode_layer26,decode_layer26,react_tool,330,1166232.0,1215927.0,202849.5
llm,768,mir_operator:decode_layer27,decode_layer27,react_tool,330,1164571.0,1219930.0,202594.0
llm,768,mir_operator:decode_sample,decode_sample,react_tool,330,619250.0,631377.0,7104.0
llm,768,mir_operator:prefill_embed,prefill_embed,react_tool,6,99333.0,102522.0,1744.0
llm,768,mir_operator:prefill_head,prefill_head,react_tool,6,244795.0,259323.0,935141.5
llm,768,mir_operator:prefill_layer00,prefill_layer00,react_tool,6,1617037.5,1745217.0,401154.0
llm,768,mir_operator:prefill_layer01,prefill_layer01,react_tool,6,1485423.0,1614658.0,344385.5
llm,768,mir_operator:prefill_layer02,prefill_layer02,react_tool,6,1333120.5,1345208.0,329601.5
llm,768,mir_operator:prefill_layer03,prefill_layer03,react_tool,6,1318252.0,1329258.0,328514.0
llm,768,mir_operator:prefill_layer04,prefill_layer04,react_tool,6,1293060.0,1294917.0,329425.0
llm,768,mir_operator:prefill_layer05,prefill_layer05,react_tool,6,1280410.5,1321941.0,328354.0
llm,768,mir_operator:prefill_layer06,prefill_layer06,react_tool,6,1256620.5,1274369.0,329074.5
llm,768,mir_operator:prefill_layer07,prefill_layer07,react_tool,6,1197569.5,1269377.0,328450.0
llm,768,mir_operator:prefill_layer08,prefill_layer08,react_tool,6,1227254.5,1286911.0,329633.0
llm,768,mir_operator:prefill_layer09,prefill_layer09,react_tool,6,1223901.5,1324323.0,330433.5
llm,768,mir_operator:prefill_layer10,prefill_layer10,react_tool,6,1231219.0,1326288.0,337745.5
llm,768,mir_operator:prefill_layer11,prefill_layer11,react_tool,6,1249845.0,1294418.0,328273.5
llm,768,mir_operator:prefill_layer12,prefill_layer12,react_tool,6,1267438.0,1285185.0,345858.5
llm,768,mir_operator:prefill_layer13,prefill_layer13,react_tool,6,1246591.0,1267739.0,343794.5
llm,768,mir_operator:prefill_layer14,prefill_layer14,react_tool,6,1214361.5,1242974.0,329170.0
llm,768,mir_operator:prefill_layer15,prefill_layer15,react_tool,6,1240172.5,1270936.0,329216.5
llm,768,mir_operator:prefill_layer16,prefill_layer16,react_tool,6,1210073.0,1270212.0,329666.0
llm,768,mir_operator:prefill_layer17,prefill_layer17,react_tool,6,1225251.0,1255773.0,329073.5
llm,768,mir_operator:prefill_layer18,prefill_layer18,react_tool,6,1246047.5,1268755.0,330721.5
llm,768,mir_operator:prefill_layer19,prefill_layer19,react_tool,6,1220700.0,1225641.0,329009.5
llm,768,mir_operator:prefill_layer20,prefill_layer20,react_tool,6,1196924.0,1244236.0,330465.0
llm,768,mir_operator:prefill_layer21,prefill_layer21,react_tool,6,1202372.0,1243009.0,329233.5
llm,768,mir_operator:prefill_layer22,prefill_layer22,react_tool,6,1193257.0,1254992.0,329217.5
llm,768,mir_operator:prefill_layer23,prefill_layer23,react_tool,6,1183832.5,1186844.0,328193.5
llm,768,mir_operator:prefill_layer24,prefill_layer24,react_tool,6,1182982.0,1267129.0,329553.5
llm,768,mir_operator:prefill_layer25,prefill_layer25,react_tool,6,1208132.5,1245302.0,343186.5
llm,768,mir_operator:prefill_layer26,prefill_layer26,react_tool,6,1238806.0,1247192.0,330866.0
llm,768,mir_operator:prefill_layer27,prefill_layer27,react_tool,6,1215018.0,1234075.0,344977.0
llm,768,mir_operator:prefill_sample,prefill_sample,react_tool,6,876885.5,992844.0,8336.0
llm,768,pre_d2h_alloc,,react_tool,6,286950.0,320371.0,736.0
llm,768,token_preprocess_cpu,,react_tool,6,1157488.5,1172582.0,0.0
llm,768,weight_init,,react_tool,6,177358.0,194504.0,0.0
llm,896,adapter_dispatch,,planner_debate,6,4448.0,9018.0,0.0
llm,896,checksum_complete,,planner_debate,6,47289.0,48779.0,0.0
llm,896,d2h_stage,,planner_debate,6,130789.5,136160.0,864.0
llm,896,h2d_stage,,planner_debate,6,103948.5,112258.0,448.0
llm,896,host_input_generate,,planner_debate,6,120156.5,133426.0,0.0
llm,896,inter_operator_dispatch,,planner_debate,15618,21914.0,47228.0,0.0
llm,896,mir_operator:decode_embed,decode_embed,planner_debate,498,59573.5,72532.0,1888.0
llm,896,mir_operator:decode_head,decode_head,planner_debate,498,247197.5,303894.0,663205.0
llm,896,mir_operator:decode_layer00,decode_layer00,planner_debate,498,1299913.5,1610322.0,204256.0
llm,896,mir_operator:decode_layer01,decode_layer01,planner_debate,498,1251120.5,1537511.0,203393.0
llm,896,mir_operator:decode_layer02,decode_layer02,planner_debate,498,1239973.0,1522068.0,203552.0
llm,896,mir_operator:decode_layer03,decode_layer03,planner_debate,498,1235212.5,1505554.0,203265.0
llm,896,mir_operator:decode_layer04,decode_layer04,planner_debate,498,1230484.0,1495702.0,203392.5
llm,896,mir_operator:decode_layer05,decode_layer05,planner_debate,498,1232552.5,1508276.0,203458.0
llm,896,mir_operator:decode_layer06,decode_layer06,planner_debate,498,1234154.0,1516271.0,203810.0
llm,896,mir_operator:decode_layer07,decode_layer07,planner_debate,498,1228165.0,1503306.0,203361.5
llm,896,mir_operator:decode_layer08,decode_layer08,planner_debate,498,1226534.0,1507009.0,203458.0
llm,896,mir_operator:decode_layer09,decode_layer09,planner_debate,498,1224620.5,1508521.0,203553.0
llm,896,mir_operator:decode_layer10,decode_layer10,planner_debate,498,1227533.5,1508277.0,203410.0
llm,896,mir_operator:decode_layer11,decode_layer11,planner_debate,498,1225681.5,1517696.0,203200.0
llm,896,mir_operator:decode_layer12,decode_layer12,planner_debate,498,1224598.0,1526596.0,203553.0
llm,896,mir_operator:decode_layer13,decode_layer13,planner_debate,498,1221883.0,1510942.0,203442.0
llm,896,mir_operator:decode_layer14,decode_layer14,planner_debate,498,1224962.0,1514492.0,203458.0
llm,896,mir_operator:decode_layer15,decode_layer15,planner_debate,498,1223297.0,1544692.0,203554.5
llm,896,mir_operator:decode_layer16,decode_layer16,planner_debate,498,1221718.5,1507895.0,203441.0
llm,896,mir_operator:decode_layer17,decode_layer17,planner_debate,498,1222209.5,1500903.0,203425.0
llm,896,mir_operator:decode_layer18,decode_layer18,planner_debate,498,1222216.0,1519098.0,203521.0
llm,896,mir_operator:decode_layer19,decode_layer19,planner_debate,498,1223836.0,1502100.0,203490.0
llm,896,mir_operator:decode_layer20,decode_layer20,planner_debate,498,1226367.5,1516466.0,203586.0
llm,896,mir_operator:decode_layer21,decode_layer21,planner_debate,498,1228680.5,1505109.0,203345.0
llm,896,mir_operator:decode_layer22,decode_layer22,planner_debate,498,1228414.0,1512949.0,203425.0
llm,896,mir_operator:decode_layer23,decode_layer23,planner_debate,498,1226321.0,1504439.0,203299.0
llm,896,mir_operator:decode_layer24,decode_layer24,planner_debate,498,1231971.5,1503833.0,203424.5
llm,896,mir_operator:decode_layer25,decode_layer25,planner_debate,498,1227179.0,1503350.0,203489.0
llm,896,mir_operator:decode_layer26,decode_layer26,planner_debate,498,1228552.5,1504554.0,203618.5
llm,896,mir_operator:decode_layer27,decode_layer27,planner_debate,498,1226936.0,1520827.0,203425.0
llm,896,mir_operator:decode_sample,decode_sample,planner_debate,498,614240.5,627148.0,7200.0
llm,896,mir_operator:prefill_embed,prefill_embed,planner_debate,6,92913.5,96240.0,1968.0
llm,896,mir_operator:prefill_head,prefill_head,planner_debate,6,266807.0,276716.0,1677738.0
llm,896,mir_operator:prefill_layer00,prefill_layer00,planner_debate,6,1510587.5,1560573.0,447218.5
llm,896,mir_operator:prefill_layer01,prefill_layer01,planner_debate,6,1377772.0,1407341.0,475058.5
llm,896,mir_operator:prefill_layer02,prefill_layer02,planner_debate,6,1353668.5,1380955.0,447650.5
llm,896,mir_operator:prefill_layer03,prefill_layer03,planner_debate,6,1315137.5,1377065.0,448035.0
llm,896,mir_operator:prefill_layer04,prefill_layer04,planner_debate,6,1295674.0,1345648.0,475778.5
llm,896,mir_operator:prefill_layer05,prefill_layer05,planner_debate,6,1304363.0,1326355.0,447555.5
llm,896,mir_operator:prefill_layer06,prefill_layer06,planner_debate,6,1303985.5,1316443.0,446308.0
llm,896,mir_operator:prefill_layer07,prefill_layer07,planner_debate,6,1339600.5,1367121.0,446706.5
llm,896,mir_operator:prefill_layer08,prefill_layer08,planner_debate,6,1289280.5,1354238.0,448003.0
llm,896,mir_operator:prefill_layer09,prefill_layer09,planner_debate,6,1313394.0,1348380.0,447250.0
llm,896,mir_operator:prefill_layer10,prefill_layer10,planner_debate,6,1262457.5,1362460.0,448530.0
llm,896,mir_operator:prefill_layer11,prefill_layer11,planner_debate,6,1284887.5,1354315.0,445490.5
llm,896,mir_operator:prefill_layer12,prefill_layer12,planner_debate,6,1276272.5,1352630.0,458898.5
llm,896,mir_operator:prefill_layer13,prefill_layer13,planner_debate,6,1317563.5,1349470.0,476691.5
llm,896,mir_operator:prefill_layer14,prefill_layer14,planner_debate,6,1266419.5,1348205.0,463332.0
llm,896,mir_operator:prefill_layer15,prefill_layer15,planner_debate,6,1281341.5,1355414.0,448643.0
llm,896,mir_operator:prefill_layer16,prefill_layer16,planner_debate,6,1242768.0,1348134.0,445443.0
llm,896,mir_operator:prefill_layer17,prefill_layer17,planner_debate,6,1289359.0,1367124.0,446947.0
llm,896,mir_operator:prefill_layer18,prefill_layer18,planner_debate,6,1319277.5,1364315.0,447378.0
llm,896,mir_operator:prefill_layer19,prefill_layer19,planner_debate,6,1283223.5,1354700.0,446708.0
llm,896,mir_operator:prefill_layer20,prefill_layer20,planner_debate,6,1329608.0,1384117.0,447331.0
llm,896,mir_operator:prefill_layer21,prefill_layer21,planner_debate,6,1297428.5,1433937.0,447060.5
llm,896,mir_operator:prefill_layer22,prefill_layer22,planner_debate,6,1278742.0,1325725.0,446419.0
llm,896,mir_operator:prefill_layer23,prefill_layer23,planner_debate,6,1244885.0,1320366.0,447282.0
llm,896,mir_operator:prefill_layer24,prefill_layer24,planner_debate,6,1299151.0,1379649.0,456371.5
llm,896,mir_operator:prefill_layer25,prefill_layer25,planner_debate,6,1297728.0,1344112.0,463890.0
llm,896,mir_operator:prefill_layer26,prefill_layer26,planner_debate,6,1274534.5,1329755.0,475315.0
llm,896,mir_operator:prefill_layer27,prefill_layer27,planner_debate,6,1308226.5,1379983.0,446723.0
llm,896,mir_operator:prefill_sample,prefill_sample,planner_debate,6,1630375.5,1661305.0,8400.0
llm,896,pre_d2h_alloc,,planner_debate,6,293482.5,382460.0,736.0
llm,896,token_preprocess_cpu,,planner_debate,6,1283608.0,1543857.0,0.0
llm,896,weight_init,,planner_debate,6,162651.0,173874.0,0.0
tool,256,agent_tool_execute_cpu,,planner_debate+react_tool,6,290996.5,374294.0,0.0
