policy,program_id,class,call_index,submit_ns,first_token_ns,finish_ns,queue_wait_ns,decode_ns,call_ns,prompt_tokens,output_tokens
plas,p00017,agent,12,166960356522532,166960416049119,166963703134121,59526587,3287085002,3346611589,1250,175
plas,p00005,lats,13,166962055432631,166962116847850,166963855812409,61415219,1738964559,1800379778,757,93
plas,p00015,lats,16,166962567335631,166962629038036,166964046526849,61702405,1417488813,1479191218,523,76
plas,p00016,agent,9,166962684028014,166962743619884,166964124444447,59591870,1380824563,1440416433,1077,74
plas,p00002,agent,12,166962356407293,166962420857914,166964185502173,64450621,1764644259,1829094880,1420,94
plas,p00018,agent,10,166959686118033,166959757394243,166964319552285,71276210,4562158042,4633434252,1960,241
plas,p00006,agent,10,166959668113514,166959752147659,166964583832025,84034145,4831684366,4915718511,939,256
plas,p00000,agent,13,166962852578774,166962914786585,166964969693643,62207811,2054907058,2117114869,1597,110
plas,p00015,lats,17,166964046706850,166964107619237,166965717571344,60912387,1609952107,1670864494,789,87
plas,p00005,lats,14,166963855967662,166963916548630,166965925540661,60580968,2008992031,2069572999,352,108
plas,p00019,agent,12,166963345037372,166963406967686,166966091658105,61930314,2684690419,2746620733,1183,144
plas,p00009,agent,12,166961844359172,166961905336115,166966409286345,60976943,4503950230,4564927173,943,240
plas,p00016,agent,10,166964124620265,166964185966740,166966966482081,61346475,2780515341,2841861816,1292,150
plas,p00018,agent,11,166964319737751,166964380008840,166967511072673,60271089,3131063833,3191334922,875,170
plas,p00002,agent,13,166964185694632,166964246399510,166967717806979,60704878,3471407469,3532112347,1913,188
plas,p00005,lats,15,166965925716214,166965981882675,166968140841297,56166461,2158958622,2215125083,977,118
plas,p00017,agent,13,166963703254768,166963766376128,166968290242803,63121360,4523866675,4586988035,1631,244
plas,p00015,lats,18,166965717748391,166965778478224,166968512783902,60729833,2734305678,2795035511,928,149
plas,p00009,agent,13,166966409453869,166966469261955,166969003070287,59808086,2533808332,2593616418,715,139
plas,p00002,agent,14,166967718033598,166967778658475,166969114721558,60624877,1336063083,1396687960,1085,74
plas,p00019,agent,13,166966091842366,166966151349183,166969389098854,59506817,3237749671,3297256488,589,177
plas,p00000,agent,14,166964969890441,166965029975524,166969627847596,60085083,4597872072,4657957155,2015,250
plas,p00018,agent,12,166967511244585,166967572175137,166969645069657,60930552,2072894520,2133825072,1675,114
plas,p00015,lats,19,166968512957517,166968569316720,166970615126442,56359203,2045809722,2102168925,504,113
plas,p00009,agent,14,166969003275012,166969063364681,166971136866997,60089669,2073502316,2133591985,982,115
plas,p00018,agent,13,166969645192499,166969711486806,166971506119630,66294307,1794632824,1860927131,1661,100
plas,p00005,lats,16,166968141036018,166968202321953,166971524628624,61285935,3322306671,3383592606,1011,183
plas,p00017,agent,14,166968290353150,166968350049657,166972402382304,59696507,4052332647,4112029154,765,223
plas,p00002,agent,15,166969114916388,166969172896381,166972657613279,57979993,3484716898,3542696891,717,192
plas,p00019,agent,14,166969389339106,166969450368201,166972858198894,61029095,3407830693,3468859788,782,188
plas,p00000,agent,15,166969628054517,166969705899647,166972877567596,77845130,3171667949,3249513079,537,176
plas,p00005,lats,17,166971524774391,166971594706205,166973458899245,69931814,1864193040,1934124854,848,104
plas,p00018,agent,14,166971506316904,166971591043205,166974146379791,84726301,2555336586,2640062887,902,143
plas,p00017,agent,15,166972402578783,166972464084372,166974911818005,61505589,2447733633,2509239222,1107,136
plas,p00009,agent,15,166971137089773,166971203341609,166975407211682,66251836,4203870073,4270121909,1875,232
plas,p00019,agent,15,166972858395350,166972921073485,166975826410425,62678135,2905336940,2968015075,1819,161
plas,p00018,agent,15,166974146578157,166974209105987,166975884826117,62527830,1675720130,1738247960,2013,93
plas,p00005,lats,18,166973459131483,166973518123183,166976382436989,58991700,2864313806,2923305506,346,159
plas,p00002,agent,16,166972657743421,166972714652244,166977208609038,56908823,4493956794,4550865617,749,249
plas,p00005,lats,19,166976382609171,166976440190094,166977659456813,57580923,1219266719,1276847642,360,69
plas,p00019,agent,16,166975826593508,166975885257942,166978647763924,58664434,2762505982,2821170416,611,155
plas,p00009,agent,16,166975407414898,166975469903929,166979032026033,62489031,3562122104,3624611135,1735,199
plas,p00018,agent,16,166975885013532,166975936609130,166979213683863,51595598,3277074733,3328670331,1121,183
plas,p00002,agent,17,166977208818457,166977269044700,166979266703729,60226243,1997659029,2057885272,1003,111
