policy,program_id,class,call_index,submit_ns,first_token_ns,finish_ns,queue_wait_ns,decode_ns,call_ns,prompt_tokens,output_tokens
plas,p00004,lats,208,37250288809873,37250318361081,37250642568995,29551208,324207914,353759122,436,64
plas,p00009,lats,208,37250240059839,37250283939572,37250648074793,43879733,364135221,408014954,183,70
plas,p00009,lats,207,37250286613624,37250315689630,37250782143011,29076006,466453381,495529387,310,91
plas,p00004,lats,206,37250234526238,37250271370055,37250817589864,36843817,546219809,583063626,612,103
plas,p00004,lats,205,37250841217055,37250863617796,37251040362468,22400741,176744672,199145413,372,36
plas,p00009,lats,209,37250692248713,37250718678250,37251044850183,26429537,326171933,352601470,455,65
plas,p00009,lats,213,37251123518644,37251153290204,37251314095858,29771560,160805654,190577214,383,27
plas,p00004,lats,211,37251051326878,37251077869990,37251405831541,26543112,327961551,354504663,368,55
plas,p00004,lats,214,37251118068701,37251153263110,37251520443837,35194409,367180727,402375136,805,65
plas,p00009,lats,210,37251109313165,37251148820807,37251547836731,39507642,399015924,438523566,494,69
plas,p00009,lats,212,37251120375207,37251153281404,37251726220344,32906197,572938940,605845137,555,102
plas,p00004,lats,210,37251266025205,37251293664233,37251746675502,27639028,453011269,480650297,483,84
plas,p00009,lats,214,37251526968212,37251551321652,37251891488594,24353440,340166942,364520382,642,66
plas,p00004,lats,212,37251128547026,37251153272511,37252038596208,24725485,885323697,910049182,387,163
plas,p00004,lats,213,37251202129263,37251227354819,37252110939259,25225556,883584440,908809996,530,164
plas,p00009,lats,211,37251254428482,37251290676337,37252144375810,36247855,853699473,889947328,256,163
plas,p00009,lats,218,37252252228686,37252282215459,37252495970744,29986773,213755285,243742058,376,38
plas,p00004,lats,219,37252150969208,37252177115055,37252501842474,26145847,324727419,350873266,445,51
plas,p00004,lats,215,37252230519541,37252254004012,37252501936338,23484471,247932326,271416797,867,42
plas,p00009,lats,215,37252171645503,37252195334086,37252560625595,23688583,365291509,388980092,229,60
plas,p00004,lats,217,37252248895052,37252278438872,37252634713249,29543820,356274377,385818197,272,65
plas,p00009,lats,216,37252275487717,37252296939845,37252681427907,21452128,384488062,405940190,702,71
plas,p00009,lats,219,37252209806799,37252237692908,37252794626695,27886109,556933787,584819896,249,100
plas,p00004,lats,218,37252326489730,37252348643265,37252980469637,22153535,631826372,653979907,541,120
plas,p00004,lats,216,37252411563192,37252435934311,37253046731949,24371119,610797638,635168757,523,118
plas,p00004,lats,220,37253107992045,37253134061594,37253461870033,26069549,327808439,353877988,405,63
plas,p00004,lats,222,37253050298345,37253076504554,37253472497620,26206209,395993066,422199275,454,75
plas,p00009,lats,217,37252198532099,37252234598279,37253521390238,36066180,1286791959,1322858139,773,236
plas,p00004,lats,223,37253179949534,37253199017326,37253571425803,19067792,372408477,391476269,222,72
plas,p00004,lats,224,37253133159109,37253153711534,37253777736017,20552425,624024483,644576908,367,116
plas,p00004,lats,221,37253481799146,37253507556343,37253782522289,25757197,274965946,300723143,295,51
plas,p00004,lats,225,37253802315584,37253823532773,37254050285048,21217189,226752275,247969464,649,40
plas,p00009,lats,222,37253866426284,37253891054783,37254060998311,24628499,169943528,194572027,621,32
plas,p00009,lats,224,37253679184241,37253702168400,37254076506996,22984159,374338596,397322755,201,64
plas,p00004,lats,228,37253856944557,37253887628202,37254160778531,30683645,273150329,303833974,373,52
plas,p00004,lats,229,37253894761457,37253916606164,37254249797574,21844707,333191410,355036117,381,64
plas,p00004,lats,227,37253800893513,37253823523113,37254259973766,22629600,436450653,459080253,378,80
plas,p00009,lats,223,37253736453793,37253763067032,37254269940580,26613239,506873548,533486787,388,92
plas,p00009,lats,221,37253784073713,37253803584205,37254285987906,19510492,482403701,501914193,386,88
plas,p00004,lats,226,37253820444512,37253842014694,37254316153168,21570182,474138474,495708656,922,88
plas,p00009,lats,220,37253725125533,37253760817245,37254549223508,35691712,788406263,824097975,467,142
plas,p00004,lats,231,37254346990714,37254371801005,37254648552119,24810291,276751114,301561405,874,48
plas,p00004,lats,232,37254322911419,37254345800467,37254653601146,22889048,307800679,330689727,584,53
plas,p00004,lats,230,37254372983081,37254396020215,37254704803851,23037134,308783636,331820770,487,55
plas,p00004,lats,233,37254467870489,37254491041101,37254754517944,23170612,263476843,286647455,313,48
plas,p00009,lats,226,37254555769618,37254595334951,37254913550797,39565333,318215846,357781179,340,62
plas,p00009,lats,225,37254549657510,37254583268217,37254994524846,33610707,411256629,444867336,254,79
plas,p00009,lats,228,37254855553889,37254877420246,37255070587197,21866357,193166951,215033308,561,39
plas,p00009,lats,227,37254569337110,37254597425815,37255080548528,28088705,483122713,511211418,310,94
plas,p00004,lats,234,37254399212293,37254419573232,37255100177797,20360939,680604565,700965504,343,127
plas,p00009,lats,229,37254846326162,37254872693335,37255141184790,26367173,268491455,294858628,311,55
plas,p00009,lats,233,37255262662222,37255287082462,37255424192889,24420240,137110427,161530667,396,28
plas,p00009,lats,230,37255168777969,37255180640438,37255481178152,11862469,300537714,312400183,513,52
plas,p00009,lats,232,37255195817044,37255227715918,37255594239002,31898874,366523084,398421958,485,70
plas,p00009,lats,234,37255179665484,37255223842794,37255648996715,44177310,425153921,469331231,400,82
plas,p00009,lats,231,37255221457403,37255245283280,37256017654321,23825877,772371041,796196918,329,158
