workload,phase,iteration,call_id,call_kind,process,op_index,op_type,engine,basis,start,end,host_ns,gpu_work_ns,gpu_busy_union_ns,kernel_launches,memcpy_memset,cuda_api_ns,cuda_api_calls,cuda_api_top,host_minus_api_ns,kernel_families
react_tool,measured,1,plan,llm,mir_operator:RMSNormOp,6,RMSNormOp,ve,nvtx_range,3414103387,3414392800,289413,15807,15807,7,0,76707,14,cudaLaunchKernel,212706,copy|elementwise_binary|elementwise_unary|reduce
react_tool,measured,1,plan,llm,inter_operator_dispatch,,,,gap_between_markers,3414392800,3414404487,11687,0,0,0,0,0,0,,11687,
react_tool,measured,1,plan,llm,mir_operator:AddOp,7,AddOp,ve,nvtx_range,3414404487,3414507145,102658,1439,1439,1,0,26633,8,cudaLaunchKernel,76025,elementwise_binary
react_tool,measured,1,plan,llm,inter_operator_dispatch,,,,gap_between_markers,3414507145,3414514800,7655,0,0,0,0,0,0,,7655,
react_tool,measured,1,plan,llm,mir_operator:RMSNormOp,8,RMSNormOp,ve,nvtx_range,3414514800,3414748032,233232,15515,15515,7,0,71240,14,cudaLaunchKernel,161992,copy|elementwise_binary|elementwise_unary|reduce
react_tool,measured,1,plan,llm,inter_operator_dispatch,,,,gap_between_markers,3414748032,3414756876,8844,0,0,0,0,0,0,,8844,
react_tool,measured,1,plan,llm,mir_operator:LinearOp,10,LinearOp,me,nvtx_range,3414756876,3414911737,154861,12734,12734,1,1,41875,10,cuLaunchKernel,112986,gemm|memset
react_tool,measured,1,plan,llm,inter_operator_dispatch,,,,gap_between_markers,3414911737,3414920605,8868,0,0,0,0,0,0,,8868,
react_tool,measured,1,plan,llm,mir_operator:LinearOp,11,LinearOp,me,nvtx_range,3414920605,3415038031,117426,12701,12701,1,1,33656,10,cuLaunchKernel,83770,gemm|memset
react_tool,measured,1,plan,llm,inter_operator_dispatch,,,,gap_between_markers,3415038031,3415047429,9398,0,0,0,0,0,0,,9398,
react_tool,measured,1,plan,llm,mir_operator:LinearOp,12,LinearOp,me,nvtx_range,3415047429,3415159074,111645,12638,12638,1,1,32472,10,cuLaunchKernel,79173,gemm|memset
react_tool,measured,1,plan,llm,inter_operator_dispatch,,,,gap_between_markers,3415159074,3415166803,7729,0,0,0,0,0,0,,7729,
react_tool,measured,1,plan,llm,mir_operator:ViewOp,13,ViewOp,de,nvtx_range,3415166803,3415305215,138412,0,0,0,0,49299,7,cudaEventRecord,89113,
react_tool,measured,1,plan,llm,inter_operator_dispatch,,,,gap_between_markers,3415305215,3415313456,8241,0,0,0,0,0,0,,8241,
react_tool,measured,1,plan,llm,mir_operator:TransposeOp,14,TransposeOp,de,nvtx_range,3415313456,3415476163,162707,9406,9406,1,0,46216,8,cudaLaunchKernel,116491,copy
react_tool,measured,1,plan,llm,pre_d2h_alloc,,,,gap_between_markers,3415476163,3415490708,14545,0,0,0,0,0,0,,14545,
react_tool,measured,1,plan,llm,d2h_stage,,,,host_event,3415490708,3415732326,241618,102988,102988,0,1,193186,6,cudaEventSynchronize,48432,memcpy
react_tool,measured,1,plan,llm,checksum_complete,,,,gap_between_markers,3415732326,3415803461,71135,0,0,0,0,1890,2,cudaEventDestroy,69245,
react_tool,measured,1,,dag,dag_schedule_gap,,,,gap_between_markers,3415803461,3416997985,1194524,0,0,0,0,4817,2,cudaEventRecord,1189707,
react_tool,measured,1,lookup,tool,agent_tool_execute_cpu,,,,host_event,3416997985,3417287353,289368,0,0,0,0,0,0,,289368,
react_tool,measured,1,,dag,dag_schedule_gap,,,,gap_between_markers,3417287353,3417349813,62460,0,0,0,0,0,0,,62460,
react_tool,measured,1,answer,llm,adapter_dispatch,,,,gap_between_markers,3417349813,3418652673,1302860,0,0,0,0,0,0,,1302860,
react_tool,measured,1,answer,llm,token_preprocess_cpu,,,,host_event,3418652673,3418839144,186471,0,0,0,0,0,0,,186471,
react_tool,measured,1,answer,llm,host_input_generate,,,,gap_between_markers,3418839144,3423947734,5108590,0,0,0,0,8378,2,cudaEventQuery,5100212,
react_tool,measured,1,answer,llm,h2d_stage,,,,host_event,3423947734,3424133476,185742,84367,84367,0,1,99990,6,cudaEventSynchronize,85752,memcpy
react_tool,measured,1,answer,llm,weight_init,,,,gap_between_markers,3424133476,3424306418,172942,4991,4991,2,0,36545,7,cudaLaunchKernel,136397,elementwise_binary|rng_init
react_tool,measured,1,answer,llm,mir_operator:RMSNormOp,6,RMSNormOp,ve,nvtx_range,3424306418,3424583074,276656,15901,15901,7,0,78664,14,cudaLaunchKernel,197992,copy|elementwise_binary|elementwise_unary|reduce
react_tool,measured,1,answer,llm,inter_operator_dispatch,,,,gap_between_markers,3424583074,3424594316,11242,0,0,0,0,0,0,,11242,
react_tool,measured,1,answer,llm,mir_operator:AddOp,7,AddOp,ve,nvtx_range,3424594316,3424696005,101689,1440,1440,1,0,26349,8,cudaLaunchKernel,75340,elementwise_binary
react_tool,measured,1,answer,llm,inter_operator_dispatch,,,,gap_between_markers,3424696005,3424715132,19127,0,0,0,0,0,0,,19127,
