workload,matrix_size,process,matched_kernel_family,kernel_family_instance_count,ncu_status,ncu_profiled_kernel_names,first_launch_order,sm_throughput_pct,tensor_pipe_active_pct,dram_cycles_active_pct,dram_bw_pct_of_peak,l2_throughput_pct,l2_hit_rate_pct,achieved_occupancy_pct,waves_per_sm,gemm_tflops_from_replay,dominant_stalls,hardware_bottleneck_interpretation
planner_debate_L_it1,4096,mir_operator:AddOp,elementwise_binary,3,profiled,"void at::vectorized_elementwise_kernel<8, at::CUDAFunctorOnS",34,5.48,0.0,93.5,0.0,31.08,50.15,87.59,10.67,,long_scoreboard=170.59; drain=19.24; short_scoreboard=3.29,DRAM-bandwidth-bound
planner_debate_L_it1,4096,mir_operator:LinearOp,gemm,9,profiled,ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_nn,43,48.8,49.01,16.72,0.0,54.36,97.3,16.35,12.0,161.1,math_pipe_throttle=12.09; wait=4.30; barrier=1.13,tensor-core compute-bound
planner_debate_L_it1,4096,mir_operator:TransposeOp,copy,3,profiled,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl",48,6.3,0.0,24.87,0.0,93.18,93.97,88.49,21.33,,long_scoreboard=141.72; drain=11.93; short_scoreboard=7.89,L2-bandwidth-bound (working set in L2)
react_tool_L_it1,3072,weight_init,rng_init,2,profiled,void at::<unnamed>::distribution_elementwise_grid_stride_ker,2,68.72,0.0,33.72,0.0,37.25,100.05,67.7,1.0,,not_selected=3.78; math_pipe_throttle=2.17; wait=1.65,SM-issue-bound
react_tool_L_it1,3072,weight_init,elementwise_binary,2,profiled,"void at::vectorized_elementwise_kernel<8, at::BUnaryFunctor<",3,5.02,0.0,88.95,0.0,33.26,50.28,84.32,6.0,,long_scoreboard=170.44; drain=18.31; short_scoreboard=2.94,DRAM-bandwidth-bound
react_tool_L_it1,3072,mir_operator:RMSNormOp,copy,8,profiled,void at::unrolled_elementwise_kernel<at::direct_copy_kernel_,4,12.59,0.0,88.06,0.0,37.8,50.31,87.67,6.0,,long_scoreboard=20.83; wait=4.58; selected=1.00,DRAM-bandwidth-bound
react_tool_L_it1,3072,mir_operator:RMSNormOp,elementwise_unary,8,profiled,"void at::vectorized_elementwise_kernel<4, void at::<unnamed>",5,1.0,0.0,46.99,0.0,15.64,65.44,42.21,3.0,,long_scoreboard=313.59; drain=82.26; mio_throttle=42.29,DRAM-bandwidth-bound
react_tool_L_it1,3072,mir_operator:RMSNormOp,reduce,4,profiled,"void at::reduce_kernel<512, 1, at::ReduceOp<float, at::MeanO",6,2.33,0.0,87.86,0.0,34.25,1.75,49.89,0.5,,long_scoreboard=215.55; barrier=15.63; imc_miss=4.71,DRAM-bandwidth-bound
react_tool_L_it1,3072,mir_operator:RMSNormOp,elementwise_binary,8,profiled,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctorOnS",7,7.57,0.0,46.48,0.0,14.52,50.61,47.05,12.0,,imc_miss=25.87; long_scoreboard=21.05; no_instruction=2.94,"latency/launch-bound: 0.00 waves per SM, no unit above 30 % of peak"
react_tool_L_it1,3072,mir_operator:AddOp,elementwise_binary,2,profiled,"void at::vectorized_elementwise_kernel<8, at::CUDAFunctorOnS",11,4.85,0.0,63.61,0.0,23.32,49.34,85.1,6.0,,long_scoreboard=166.15; drain=17.68; short_scoreboard=3.05,DRAM-bandwidth-bound
react_tool_L_it1,3072,mir_operator:LinearOp,gemm,6,profiled,ampere_fp16_s1688gemm_fp16_64x128_sliced1x2_ldg8_f2f_nn,19,47.44,48.07,12.87,0.0,74.35,97.25,15.95,4.5,155.9,math_pipe_throttle=11.52; wait=3.95; selected=1.00,tensor-core compute-bound
react_tool_L_it1,3072,mir_operator:TransposeOp,copy,2,profiled,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl",22,6.12,0.0,20.34,0.0,90.91,93.92,87.69,12.0,,long_scoreboard=140.00; drain=12.07; short_scoreboard=8.14,L2-bandwidth-bound (working set in L2)
react_tool_L_it1,,host_input_generate,,0,not_collected_cpu_process,,,,,,,,,,,,,host-side process; no GPU counters
react_tool_L_it1,,adapter_dispatch,,0,not_collected_cpu_process,,,,,,,,,,,,,host-side process; no GPU counters
react_tool_L_it1,,h2d_stage,memcpy,16,not_collected_memcpy,,,,,,,,,,,,,"PCIe copy; not a kernel, see w02 h2d/d2h bytes and cuda_ms"
react_tool_L_it1,,d2h_stage,memcpy,16,not_collected_memcpy,,,,,,,,,,,,,"PCIe copy; not a kernel, see w02 h2d/d2h bytes and cuda_ms"
react_tool_L_it1,,dag_schedule_gap,,0,not_collected_cpu_process,,,,,,,,,,,,,host-side process; no GPU counters
react_tool_L_it1,,token_preprocess_cpu,,0,not_collected_cpu_process,,,,,,,,,,,,,host-side process; no GPU counters
react_tool_L_it1,,agent_tool_execute_cpu,,0,not_collected_cpu_process,,,,,,,,,,,,,host-side process; no GPU counters
react_tool_L_it1,,checksum_complete,,0,not_collected_cpu_process,,,,,,,,,,,,,host-side process; no GPU counters
react_tool_L_it1,,mir_operator:ViewOp,,0,not_collected_cpu_process,,,,,,,,,,,,,host-side process; no GPU counters
react_tool_L_it1,,inter_operator_dispatch,,0,not_collected_cpu_process,,,,,,,,,,,,,host-side process; no GPU counters
react_tool_L_it1,,iteration_tail_sync,,0,not_collected_cpu_process,,,,,,,,,,,,,host-side process; no GPU counters
react_tool_L_it1,,pre_d2h_alloc,,0,not_collected_cpu_process,,,,,,,,,,,,,host-side process; no GPU counters
planner_debate_L_it1,,host_input_generate,,0,not_collected_cpu_process,,,,,,,,,,,,,host-side process; no GPU counters
planner_debate_L_it1,,h2d_stage,memcpy,40,not_collected_memcpy,,,,,,,,,,,,,"PCIe copy; not a kernel, see w02 h2d/d2h bytes and cuda_ms"
planner_debate_L_it1,,d2h_stage,memcpy,40,not_collected_memcpy,,,,,,,,,,,,,"PCIe copy; not a kernel, see w02 h2d/d2h bytes and cuda_ms"
planner_debate_L_it1,,adapter_dispatch,,0,not_collected_cpu_process,,,,,,,,,,,,,host-side process; no GPU counters
planner_debate_L_it1,,token_preprocess_cpu,,0,not_collected_cpu_process,,,,,,,,,,,,,host-side process; no GPU counters
planner_debate_L_it1,,dag_schedule_gap,,0,not_collected_cpu_process,,,,,,,,,,,,,host-side process; no GPU counters
planner_debate_L_it1,,checksum_complete,,0,not_collected_cpu_process,,,,,,,,,,,,,host-side process; no GPU counters
planner_debate_L_it1,,agent_tool_execute_cpu,,0,not_collected_cpu_process,,,,,,,,,,,,,host-side process; no GPU counters
planner_debate_L_it1,,mir_operator:ViewOp,,0,not_collected_cpu_process,,,,,,,,,,,,,host-side process; no GPU counters
planner_debate_L_it1,,inter_operator_dispatch,,0,not_collected_cpu_process,,,,,,,,,,,,,host-side process; no GPU counters
planner_debate_L_it1,,pre_d2h_alloc,,0,not_collected_cpu_process,,,,,,,,,,,,,host-side process; no GPU counters
planner_debate_L_it1,,iteration_tail_sync,,0,not_collected_cpu_process,,,,,,,,,,,,,host-side process; no GPU counters
