# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0    100     54      0      0      0      0 
    1      0      0      0      0      0      0 
    0     23      2      0      0      0      0 
    1      0      0      0      0      0      0 
    0      0      0      0      0      0      0 
    1      0      0      0      0      0      0 
    0      1      1      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     56      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     55      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     55      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     58      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     58      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     57      0      0      0      0 
    1     85     95      0      0      0      0 
    0    100     56      0      0      0      0 
    1     38     40      0      0      0      0 
    0    100     55      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     54      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     54      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     54      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     54      0      0      0      0 
    1     89     96      0      0      0      0 
    0    100     55      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     55      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     55      0      0      0      0 
    1     11     10      0      0      0      0 
    0    100     58      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     58      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     57      0      0      0      0 
    1     17     20      0      0      0      0 
# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0    100     57      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     56      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     53      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     54      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     54      0      0      0      0 
    1     10      1      0      0      0      0 
    0    100     54      0      0      0      0 
    1      0      0      0      0      0      0 
