workload,phase,iteration,call_id,op_index,op_type,engine,attribution_basis,nvtx_cpu_ns,nvtx_start,gpu_work_ns,kernel_ns,memcpy_memset_ns,kernel_count,memcpy_memset_count,launch_to_gpu_start_ns,gpu_span_ns,kernel_families,kernel_names
planner_debate_L,measured,2,planner-seed,14,TransposeOp,de,nvtx_operator_range,6370152,8749710771,6216206,6216206,0,32,0,15496,6237902,copy,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kerne"
planner_debate_L,measured,2,critic-a,6,RMSNormOp,ve,nvtx_operator_range,16449190,8872491877,16179742,16179742,0,224,0,9258,16323291,copy|elementwise_binary|elementwise_unary|reduce,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda|void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed|void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at:|void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOn|void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_|void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kerne|void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_"
planner_debate_L,measured,2,critic-a,7,AddOp,ve,nvtx_operator_range,746871,8888955476,648458,648458,0,32,0,10141,668169,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctorOn"
planner_debate_L,measured,2,critic-a,8,RMSNormOp,ve,nvtx_operator_range,16204946,8889709902,15837641,15837641,0,224,0,8684,16130209,copy|elementwise_binary|elementwise_unary|reduce,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda|void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed|void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at:|void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOn|void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_|void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kerne|void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_"
planner_debate_L,measured,2,critic-a,10,LinearOp,me,nvtx_operator_range,25672678,8905925670,25453894,25414887,39007,32,32,26203,25526372,gemm|memset,memset|ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_nn
planner_debate_L,measured,2,critic-a,11,LinearOp,me,nvtx_operator_range,27044756,8931632203,26861942,26821849,40093,32,32,11722,26930102,gemm|memset,memset|ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_nn
planner_debate_L,measured,2,critic-a,12,LinearOp,me,nvtx_operator_range,27098276,8958693527,26957812,26917332,40480,32,32,7154,27018995,gemm|memset,memset|ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_nn
planner_debate_L,measured,2,critic-a,13,ViewOp,de,nvtx_operator_range,160098,8985804703,0,0,0,0,0,,,,
planner_debate_L,measured,2,critic-a,14,TransposeOp,de,nvtx_operator_range,7317958,8985971014,7167086,7167086,0,32,0,12015,7188302,copy,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kerne"
planner_debate_L,measured,2,critic-b,6,RMSNormOp,ve,nvtx_operator_range,16509478,9111008741,16242331,16242331,0,224,0,9896,16385689,copy|elementwise_binary|elementwise_unary|reduce,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda|void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed|void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at:|void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOn|void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_|void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kerne|void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_"
