lineage,workload,process,selected,share_pct,resource_status,reason,family,sm_pct,tensor_pct,dram_active_pct,dram_bw_pct_peak,l2_pct,occupancy_pct,waves_per_sm,hw_source_workload
base,planner_debate,pre_d2h_alloc,False,0.11,not_collected_cpu_process,host-side Python/CPU segment; no GPU counters exist for it,,,,,,,,,
base,planner_debate,d2h_stage,False,1.51,not_collected_memcpy,"PCIe copy; not a kernel, see w02 h2d/d2h bytes and cuda_ms",memcpy,,,,,,,,planner_debate
base,planner_debate,checksum_complete,False,0.6,not_collected_cpu_process,host-side Python/CPU segment; no GPU counters exist for it,,,,,,,,,
base,planner_debate,agent_tool_execute_cpu,False,0.54,not_collected_cpu_process,host-side Python/CPU segment; no GPU counters exist for it,,,,,,,,,
base,planner_debate,iteration_tail_sync,False,0.11,not_collected_cpu_process,host-side Python/CPU segment; no GPU counters exist for it,,,,,,,,,
base,react_moa_mcts,dag_schedule_gap,False,1.1,not_collected_cpu_process,host-side Python/CPU segment; no GPU counters exist for it,,,,,,,,,
base,react_moa_mcts,adapter_dispatch,False,8.73,not_collected_cpu_process,host-side Python/CPU segment; no GPU counters exist for it,,,,,,,,,
base,react_moa_mcts,token_preprocess_cpu,False,2.19,not_collected_cpu_process,host-side Python/CPU segment; no GPU counters exist for it,,,,,,,,,
base,react_moa_mcts,host_input_generate,True,74.68,not_collected_cpu_process,host-side Python/CPU segment; no GPU counters exist for it,,,,,,,,,
base,react_moa_mcts,h2d_stage,False,1.49,not_collected_memcpy,"PCIe copy; not a kernel, see w02 h2d/d2h bytes and cuda_ms",memcpy,,,,,,,,react_tool
base,react_moa_mcts,h2d_stage,False,1.49,not_collected_memcpy,"PCIe copy; not a kernel, see w02 h2d/d2h bytes and cuda_ms",memcpy,,,,,,,,planner_debate
base,react_moa_mcts,weight_init,False,1.05,profiled,"underutilised: SM 51 %, DRAM 0 %, L2 13 %, occ 67 %",rng_init,51.16,0.0,0.23,0.0,12.79,67.46,1.0,planner_debate
base,react_moa_mcts,weight_init,False,1.05,profiled,"underutilised: SM 3 %, DRAM 47 %, L2 22 %, occ 32 %",elementwise_binary,2.7,0.0,46.09,0.0,21.49,31.82,0.51,planner_debate
base,react_moa_mcts,weight_init,False,1.05,profiled,"underutilised: SM 51 %, DRAM 1 %, L2 16 %, occ 67 %",rng_init,51.25,0.0,0.58,0.0,16.17,67.42,1.0,planner_debate
base,react_moa_mcts,weight_init,False,1.05,profiled,"underutilised: SM 3 %, DRAM 51 %, L2 23 %, occ 40 %",elementwise_binary,2.96,0.0,51.43,0.0,23.98,40.01,0.67,planner_debate
base,react_moa_mcts,weight_init,False,1.05,profiled,"underutilised: SM 44 %, DRAM 1 %, L2 13 %, occ 68 %",rng_init,44.0,0.0,2.22,0.0,12.81,67.78,1.0,react_tool
base,react_moa_mcts,weight_init,False,1.05,profiled,"underutilised: SM 2 %, DRAM 40 %, L2 19 %, occ 25 %",elementwise_binary,2.27,0.0,40.01,0.0,18.85,25.59,0.38,react_tool
base,react_moa_mcts,mir_operator:RMSNormOp,False,3.61,profiled,"underutilised: SM 15 %, DRAM 30 %, L2 29 %, occ 47 %",copy,8.35,0.0,45.57,0.0,26.25,38.72,0.51,planner_debate
base,react_moa_mcts,mir_operator:RMSNormOp,False,3.61,profiled,DRAM-bandwidth-bound,elementwise_unary,0.9,0.0,29.99,0.0,13.98,20.49,0.26,planner_debate
base,react_moa_mcts,mir_operator:RMSNormOp,False,3.61,profiled,"underutilised: SM 3 %, DRAM 52 %, L2 21 %, occ 33 %",reduce,2.74,0.0,50.4,0.0,19.81,33.25,0.15,planner_debate
