lineage,workload,iteration,launch_order,call_id,process,op_index,kind,family,gpu_ns,launch_latency_ns,gpu_start_rel_us
base,planner_debate,12,60,critic-b,mir_operator:RMSNormOp,8,kernel,reduce,3359,9458,842330.6
base,planner_debate,12,61,critic-b,mir_operator:RMSNormOp,8,kernel,elementwise_binary,1024,7557,842352.2
base,planner_debate,12,62,critic-b,mir_operator:RMSNormOp,8,kernel,elementwise_unary,1088,7063,842372.7
base,planner_debate,12,63,critic-b,mir_operator:RMSNormOp,8,kernel,elementwise_binary,3967,7643,842395.2
base,planner_debate,12,64,critic-b,mir_operator:RMSNormOp,8,kernel,copy,2239,7549,842419.5
base,planner_debate,12,65,critic-b,mir_operator:LinearOp,10,kernel,gemm,19644,18995,842621.4
base,planner_debate,12,66,critic-b,mir_operator:LinearOp,11,kernel,gemm,19836,12527,842779.3
base,planner_debate,12,67,critic-b,mir_operator:LinearOp,12,kernel,gemm,19804,11730,842919.8
base,planner_debate,12,68,critic-b,mir_operator:TransposeOp,14,kernel,copy,12222,11781,843139.6
base,planner_debate,12,69,critic-b,d2h_stage,,memcpy,memcpy,162083,15058,843258.5
base,planner_debate,12,70,critic-merge,h2d_stage,,memcpy,memcpy,149989,15940,855937.2
base,planner_debate,12,71,critic-merge,weight_init,,kernel,rng_init,5055,19791,856194.3
base,planner_debate,12,72,critic-merge,weight_init,,kernel,elementwise_binary,2016,9002,856241.8
base,planner_debate,12,73,critic-merge,mir_operator:RMSNormOp,6,kernel,copy,4415,10590,856364.6
base,planner_debate,12,74,critic-merge,mir_operator:RMSNormOp,6,kernel,elementwise_unary,3168,7665,856389.1
base,planner_debate,12,75,critic-merge,mir_operator:RMSNormOp,6,kernel,reduce,3488,9234,856417.5
base,planner_debate,12,76,critic-merge,mir_operator:RMSNormOp,6,kernel,elementwise_binary,1056,7445,856439.5
base,planner_debate,12,77,critic-merge,mir_operator:RMSNormOp,6,kernel,elementwise_unary,1087,7592,856460.2
base,planner_debate,12,78,critic-merge,mir_operator:RMSNormOp,6,kernel,elementwise_binary,3936,8268,856484.1
base,planner_debate,12,79,critic-merge,mir_operator:RMSNormOp,6,kernel,copy,2240,7516,856508.2
base,planner_debate,12,80,critic-merge,mir_operator:AddOp,7,kernel,elementwise_binary,1984,9168,856642.6
base,planner_debate,12,81,critic-merge,mir_operator:RMSNormOp,8,kernel,copy,4287,9385,856753.0
base,planner_debate,12,82,critic-merge,mir_operator:RMSNormOp,8,kernel,elementwise_unary,3136,9621,856782.2
base,planner_debate,12,83,critic-merge,mir_operator:RMSNormOp,8,kernel,reduce,3327,11307,856818.4
base,planner_debate,12,84,critic-merge,mir_operator:RMSNormOp,8,kernel,elementwise_binary,1056,9716,856844.4
base,planner_debate,12,85,critic-merge,mir_operator:RMSNormOp,8,kernel,elementwise_unary,1088,7899,856869.8
